USAF,WBAN,STATION NAME,CTRY,ST CALL,LAT,LON,ELEV(M),BEGIN,END
110010,99999,WOLFSEGG,AU,NA,48.1,13.667,615.6,19730715,20240603
110080,99999,ROHRBACH,AU,NA,48.567,14,602,19761101,20240603
110100,99999,LINZ,AU,LOWL,48.233,14.188,298.1,19341001,20240603
110120,99999,KREMSMUENSTER,AU,NA,48.05,14.133,389,19730802,20240603
110180,99999,AMSTETTEN,AU,NA,48.1,14.9,271,19650526,20240603
110190,99999,ALLENTSTEIG,AU,NA,48.683,15.367,607,19940601,20240603
110200,99999,STIFT ZWETTL,AU,NA,48.617,15.2,506,19791002,20240603
110210,99999,LITSCHAU,AU,NA,48.95,15.033,556.7,19761021,20240603
110220,99999,RETZ,AU,NA,48.767,15.95,323,19650526,20240603
110240,99999,JAUERLING,AU,NA,48.333,15.333,959,19730623,20240603
110250,99999,WEITRA,AU,NA,48.7,14.883,471,20140521,20240603
110270,99999,STOCKERAU,AU,NA,48.4,16.2,205.1,19330102,20240603
110300,99999,TULLN,AU,LOXT,48.321,16.112,175.3,19400311,20240603
110320,99999,POYSDORF,AU,NA,48.667,16.633,207,19730821,20240603
110340,99999,WIEN/INNERE STADT,AU,NA,48.2,16.367,171,19900705,20240603
110350,99999,WIEN/HOHE WARTE,AU,NA,48.25,16.367,200,19310102,20240603
110360,99999,SCHWECHAT,AU,LOWW,48.11,16.57,182.9,19520101,20240603
110370,99999,GROSSENZERSDORF,AU,NA,48.2,16.567,153,20080310,20240603
110400,99999,WIEN/UNTERLAA,AU,NA,48.133,16.417,199,20010919,20240603
110510,99999,RANSHOFEN,AU,NA,48.217,13.033,388.1,19950801,20240603
110530,99999,RIED IM INNKREIS,AU,NA,48.217,13.483,429.2,20010919,20240603
110550,99999,SCHAERDING,AU,NA,48.467,13.433,318,19941012,20240603
110590,99999,WELS/SCHLEISSHEIM,AU,NA,48.167,14.067,314,20050928,20240603
110600,99999,LINZ/STADT,AU,NA,48.3,14.283,263,19940601,20240603
110700,99999,KREMS,AU,NA,48.417,15.617,204,20010919,20240603
110750,99999,LANGENOIS (AUT),AU,LOAG,48.467,15.7,210,19901201,20240603
110780,99999,LILIENFELD/TARSCHBERG,AU,NA,48.033,15.583,696,19940201,20240603
110800,99999,WIEN/MARIABRUNN,AU,NA,48.2,16.233,227,20031021,20240603
110820,99999,GUMPOLDSKIRCHEN,AU,NA,48.033,16.283,233,19920201,20240603
110830,99999,LEISER BERGE,AU,NA,48.567,16.367,451,20040306,20240603
110850,99999,ZWERNDORF-MARCHEGG,AU,NA,48.333,16.833,146,20040430,20240603
111010,99999,BREGENZ,AU,NA,47.5,9.75,441.9,19650526,20240603
111050,99999,FELDKIRCH,AU,NA,47.267,9.617,439,19661006,20240603
111120,99999,LANDECK,AU,NA,47.14,10.564,806.5,19650526,20240603
111200,99999,INNSBRUCK,AU,LOWI,47.26,11.344,580.9,19310104,20240603
111210,99999,INNSBRUCK-FLUGHAFEN,AU,NA,47.25,11.35,579,20140521,20240603
111300,99999,KUFSTEIN,AU,NA,47.583,12.167,493,19650526,20240603
111400,99999,LOFER,AU,NA,47.583,12.7,629,19730724,20240603
111410,99999,BISCHOFSHOFEN,AU,NA,47.4,13.217,548,19810303,20240603
111500,99999,SALZBURG,AU,LOWS,47.793,13.004,430.1,19380601,20240603
111520,99999,MATTSEE,AU,NA,47.983,13.1,503,19730821,20240603
111530,99999,MONDSEE,AU,NA,47.85,13.367,491,19730814,20240603
111570,99999,AIGEN/ENNSTAL (MIL),AU,LOXA,47.533,14.133,649,19380103,20240603
111700,99999,LUNZ,AU,NA,47.85,15.067,615,19730624,20240603
111710,99999,ST SEBASTIAN/MARIAZELL,AU,NA,47.8,15.3,872,19870901,20240603
111750,99999,BRUCK/MUR,AU,NA,47.417,15.267,482,19661006,20240603
111760,99999,KAPFENBERG-FLUGFELD,AU,NA,47.467,15.333,527,20181107,20240603
111820,99999,WIENER NEUSTADT,AU,NA,47.833,16.217,285,19340501,20240603
111850,99999,MOENICHKIRCHEN,AU,NA,47.517,16.033,994,19650526,20240603
111900,99999,EISENSTADT,AU,NA,47.85,16.533,189.3,19730627,20240603
111920,99999,KLEINZICKEN,AU,NA,47.2,16.333,267,19780502,20240603
112040,99999,LIENZ,AU,NA,46.833,12.817,666,19380401,20240603
112130,99999,VILLACH,AU,NA,46.617,13.883,494,19761102,20240603
112200,99999,NEUMARKT,AU,NA,47.067,14.417,870,19761101,20240603
112250,99999,WEITENSFELD,AU,NA,46.85,14.183,712.4,19761102,20240603
112270,99999,FELDKIRCHEN,AU,NA,46.717,14.1,551,20080310,20240603
112290,99999,ST. ANDRAE I.L.,AU,NA,46.767,14.833,404,19771101,20240603
112310,99999,KLAGENFURT(CIV/MIL),AU,LOWK,46.65,14.333,452,19310107,20240603
112320,99999,FEISTRITZ OB BLEIBURG,AU,NA,46.567,14.767,527,19930101,20240603
112400,99999,GRAZ,AU,LOWG,46.991,15.44,339.9,19340201,20240603
112440,99999,BAD GLEICHENBERG,AU,NA,46.867,15.9,282,20071016,20240603
112550,99999,KOETSCHACH-MAUTHEN,AU,NA,46.683,13,711,19901201,20240603
112700,99999,DELLACH IM DRAUTAL,AU,NA,46.733,13.083,625,19910214,20240603
112720,99999,SPITTAL/DRAU,AU,NA,46.783,13.483,542,20050815,20240603
112750,99999,ARRIACH,AU,NA,46.733,13.85,892.3,19901201,20240603
112800,99999,MURAU,AU,NA,47.117,14.183,813,19901201,20240603
112850,99999,DEUTSCHLANDSBERG,AU,NA,46.817,15.233,355,20040223,20240603
112900,99999,GRAZ UNIVERSITAET,AU,NA,47.083,15.45,378,19920215,20240603
112920,99999,LASSNITZHOEHE,AU,NA,47.067,15.583,533,19901201,20240603
112960,99999,LEIBNITZ,AU,NA,46.767,15.55,265.7,20140521,20240603
112980,99999,FELDBACH,AU,NA,46.933,15.867,283,20091117,20240603
113010,99999,ALBERSCHWENDE,AU,NA,47.45,9.85,719,20100224,20240603
113020,99999,DORNBIRN,AU,LOIH,47.433,9.733,410,19951001,20240603
113250,99999,JENBACH,AU,NA,47.383,11.75,531.4,20091117,20240603
113300,99999,MAYRHOFEN,AU,NA,47.167,11.85,633,20140521,20240603
113310,99999,KLAGENFURT-FLUGHAFEFN,AU,NA,46.633,14.317,450,20140521,20240603
113450,99999,ST VEIT IM PONGAU,AU,NA,47.333,13.15,749.2,19900601,20240603
113460,99999,RAURIS,AU,NA,47.217,13,935,19940601,20240603
113500,99999,SALZBURG/FREISAAL,AU,NA,47.783,13.05,423,19941001,20240603
113550,99999,WINDISCHGARSTEN,AU,NA,47.733,14.333,614,19900601,20240603
113560,99999,BAD AUSSEE,AU,NA,47.617,13.75,747,19950102,20240603
113570,99999,ST. WOLFGANG,AU,NA,47.733,13.45,537,19900601,20240603
113580,99999,BAD MITTERNDORF,AU,NA,47.55,13.933,803,19950102,20240603
113590,99999,GROEBMING,AU,NA,47.433,13.9,765,20140521,20240603
113620,99999,KALWANG,AU,NA,47.417,14.767,744,20040512,20240603
113650,99999,ZELTWEG/AUTOM. STAT.,AU,NA,47.2,14.767,682,20091117,20240603
113660,99999,SAALBACH,AU,NA,47.383,12.65,980.6,20141111,20240603
113670,99999,BAERNKOPF,AU,NA,48.383,15,970,20140521,20240603
113750,99999,AFLENZ,AU,NA,47.55,15.233,774,20091117,20240603
113780,99999,GUTENSTEIN-MARIAHILFBERG,AU,NA,47.867,15.883,709,20091117,20240603
113800,99999,REICHENAU/RAX,AU,NA,47.7,15.833,486,19910206,20240603
113820,99999,PUCHBERG,AU,NA,47.783,15.9,582,19910401,20240603
113830,99999,SEMMERING,AU,NA,47.617,15.817,985,19910217,20240603
113850,99999,HOHE WAND/HOCHKOGELHAUS,AU,NA,47.817,16.033,939,19940201,20240603
113870,99999,SEIBERSDORF,AU,NA,47.983,16.5,186,20040820,20240603
113890,99999,ST POELTEN LANDHAUS,AU,NA,48.183,15.617,273,20071016,20240603
113900,99999,HARTBERG,AU,NA,47.283,15.983,335,20091117,20240603
113930,99999,LUTZMANNSBURG,AU,NA,47.467,16.667,199,20041214,20240603
113950,99999,ANDAU,AU,NA,47.767,17.033,122,20091117,20240603
114060,99999,CHEB,EZ,NA,50.067,12.383,490,19370102,20240603
114140,99999,KARLOVY VARY,EZ,LKKV,50.203,12.915,606.2,19390101,20240603
114230,99999,PRIMDA,EZ,NA,49.667,12.683,747.4,19400102,20240603
114380,99999,TUSIMICE,EZ,NA,50.383,13.333,326.2,19780608,20240603
114500,99999,PLZEN-MIKULKA,EZ,NA,49.767,13.383,371.5,19370301,20240603
114640,99999,MILESOVKA,EZ,NA,50.55,13.933,842.6,19310202,20240603
114870,99999,KOCELOVICE,EZ,NA,49.467,13.833,521.9,19750801,20240603
115020,99999,USTI NAD LABEM,EZ,NA,50.683,14.033,378.6,19780714,20240603
115090,99999,DOKSANY,EZ,NA,50.467,14.167,160.2,19950401,20240603
115180,99999,RUZYNE,EZ,LKPR,50.101,14.26,380.1,19290801,20240603
115200,99999,PRAHA-LIBUS,EZ,NA,50,14.45,303.7,19730101,20240603
115380,99999,TEMELIN,EZ,NA,49.2,14.35,508,19891201,20240603
115460,99999,C. BUDEJOVICE-ROZNOV,EZ,NA,48.95,14.467,396.4,20010915,20240603
115670,99999,PRAHA-KBELY,EZ,NA,50.117,14.533,285.5,19390321,20240603
116030,99999,LIBEREC,EZ,NA,50.767,15.017,401.5,19370302,20240603
116240,99999,CASLAV,EZ,LKCV,49.94,15.382,242,19970101,20240603
116280,99999,KOSETICE,EZ,NA,49.567,15.083,532.1,19881001,20240603
116360,99999,KOSTELNI MYSLOVA,EZ,NA,49.167,15.433,572.4,19520101,20240603
116430,99999,PEC POD SNEZKOU,EZ,NA,50.7,15.733,820.6,19310101,20240603
116520,99999,PARDUBICE,EZ,LKPD,50.013,15.739,225.9,19960506,20240603
116590,99999,PRIBYSLAV,EZ,NA,49.583,15.767,536.4,19370102,20240603
116790,99999,USTI NAD ORLICI,EZ,NA,49.983,16.417,404.9,19730101,20240603
116830,99999,SVRATOUCH,EZ,NA,49.733,16.033,740.4,19770601,20240603
116920,99999,NAMEST,EZ,LKNA,49.166,16.125,471.8,19960506,20240603
116930,99999,DUKOVANY,EZ,NA,49.1,16.133,402,19871001,20240603
116980,99999,KUCHAROVICE,EZ,NA,48.883,16.083,338.7,19780608,20240603
117100,99999,LUKA,EZ,NA,49.65,16.95,515.6,19770601,20240603
117230,99999,TURANY,EZ,LKTB,49.151,16.694,237.1,19390320,20240603
117470,99999,PROSTEJOV,EZ,NA,49.45,17.133,216,20140930,20240603
117660,99999,CERVENA,EZ,NA,49.783,17.55,753.3,19780608,20240603
117740,99999,HOLESOV,EZ,LKHO,49.317,17.567,224,19530404,20240603
117820,99999,MOSNOV,EZ,LKMT,49.696,18.111,257.3,19520101,20240603
118010,99999,MALACKY,LO,LZMC,48.4,17.15,207,20031123,20240603
118120,99999,MALY JAVORNIK,LO,NA,48.25,17.15,368.5,20120101,20240603
118130,99999,BRATISLAVA-LOLIBA,LO,NA,48.167,17.117,163.1,20120101,20240603
118160,99999,M R STEFANIK,LO,LZIB,48.17,17.213,132.9,19400101,20240603
118190,99999,JASLOVSKE BOHUNICE,LO,NA,48.483,17.667,178,20040909,20240603
118260,99999,PIESTANY,LO,LKPP,48.617,17.833,164,19370102,20240603
118410,99999,ZILINA/HRICOV,LO,NA,49.233,18.617,311,19750515,20240603
118550,99999,NITRA,LO,NA,48.283,18.133,136,19370102,20240603
118560,99999,MOCHOVCE,LO,NA,48.283,18.45,262,20100226,20240603
118580,99999,HURBANOVO,LO,NA,47.867,18.2,124,19730101,20240603
118670,99999,PRIEVIDZA,LO,NA,48.767,18.6,261,19780606,20240603
118800,99999,DUDINCE,LO,NA,48.167,18.867,140,19780308,20240603
119000,99999,ZIAR NAD HRONOM,LO,NA,48.586,18.852,275,20120501,20240603
