code,country
409380-99999,AF
606120-99999,AG
136150-99999,AL
878280-99999,AR
949390-99999,AS
113250-99999,AU
893760-99999,AY
145490-99999,BK
918310-99999,CW
175050-99999,CY
260380-99999,EN
619720-99999,EU
114060-99999,EZ
814080-99999,FG
888700-99999,FK
919440-99999,FP
619980-99999,FS
128050-99999,HU
401530-99999,IS
164640-99999,IT
474010-99999,JA
479180-99999,JP
470670-99999,KN
264290-99999,LG
265470-99999,LH
119180-99999,LO
134590-99999,MJ
619860-99999,MP
915700-99999,NC
930690-99999,NZ
847610-99999,PE
124970-99999,PL
411670-99999,QA
619800-99999,RE
133830-99999,RI
151450-99999,RO
984260-41231,RP
718050-99999,SB
619010-99999,SH
140140-99999,SI
600050-99999,SP
889030-99999,SX
619760-99999,TE
483550-99999,TH
917230-99999,TL
170860-99999,TR
170690-99999,TU
749005-99999,UK
865800-99999,UY
917540-99999,WF
