USAF,WBAN,STATION NAME,CTRY,LON,LAT
939940,99999,RAOUL ISLAND AWS,NZ,-177.933,-29.25
959540,99999,CAPE GRIM,AS,144.683,-40.667
151360,99999,CHISINEU-CRIS,RO,21.533,46.533
151270,99999,JOSENI,RO,25.517,46.7
915700,99999,ILE SURPRISE,NC,163.083,-18.483
164360,99999,SCIACCA,IT,13.083,37.517
128700,99999,EGER,HU,20.383,47.9
483830,99999,MUKDAHAN,TH,104.717,16.533
957210,99999,COWRA AIRPORT AWS,AS,148.65,-33.85
171550,99999,KUTAHYA,TU,29.967,39.417
146540,99999,SARAJEVO-BJELAVE,BK,18.433,43.867
474200,99999,NEMURO,JA,145.583,43.333
949190,99999,KHANCOBAN,AS,148.133,-36.233
125850,99999,SANDOMIERZ,PL,21.717,50.7
141220,99999,CERKLJE OB KRKI,SI,15.517,45.9
477660,99999,KURE,JA,132.55,34.233
948300,99999,PORT FAIRY AWS,AS,142.233,-38.4
112900,99999,GRAZ UNIVERSITAET,AU,15.45,47.083
152600,99999,SIBIU,RO,24.091,45.786
475870,99999,SAKATA,JA,139.85,38.917
