"","date","t2m","site"
"110060",2020-01-01 00:00:00,26.1,"RP-984260-41231"
"510001",2020-01-01 03:00:00,29.4,"RP-984260-41231"
"91065",2020-01-01 06:00:00,30.1,"RP-984260-41231"
"131050",2020-01-01 09:00:00,29.2,"RP-984260-41231"
"171046",2020-01-01 12:00:00,27.7,"RP-984260-41231"
"211048",2020-01-01 15:00:00,26.7,"RP-984260-41231"
"251040",2020-01-01 18:00:00,26.1,"RP-984260-41231"
"291008",2020-01-01 21:00:00,25.4,"RP-984260-41231"
"331007",2020-01-02 00:00:00,26.1,"RP-984260-41231"
"371031",2020-01-02 03:00:00,29.6,"RP-984260-41231"
"411030",2020-01-02 06:00:00,30.7,"RP-984260-41231"
"451007",2020-01-02 09:00:00,29.3,"RP-984260-41231"
"491008",2020-01-02 12:00:00,26.9,"RP-984260-41231"
"531008",2020-01-02 15:00:00,25.9,"RP-984260-41231"
"571006",2020-01-02 18:00:00,25.5,"RP-984260-41231"
"611031",2020-01-02 21:00:00,24.5,"RP-984260-41231"
"651006",2020-01-03 00:00:00,25.3,"RP-984260-41231"
"691005",2020-01-03 03:00:00,28.5,"RP-984260-41231"
"731007",2020-01-03 06:00:00,30,"RP-984260-41231"
"771004",2020-01-03 09:00:00,28.4,"RP-984260-41231"
"811006",2020-01-03 12:00:00,24.5,"RP-984260-41231"
"85600",2020-01-03 15:00:00,23.8,"RP-984260-41231"
"89166",2020-01-03 18:00:00,23.5,"RP-984260-41231"
"93167",2020-01-03 21:00:00,23.1,"RP-984260-41231"
"97170",2020-01-04 00:00:00,24.4,"RP-984260-41231"
"101169",2020-01-04 03:00:00,29.5,"RP-984260-41231"
"105167",2020-01-04 06:00:00,30.9,"RP-984260-41231"
"109170",2020-01-04 09:00:00,29,"RP-984260-41231"
"113166",2020-01-04 12:00:00,25.8,"RP-984260-41231"
"117160",2020-01-04 15:00:00,25.4,"RP-984260-41231"
"122154",2020-01-04 18:00:00,23,"RP-984260-41231"
"126153",2020-01-04 21:00:00,23,"RP-984260-41231"
"130155",2020-01-05 00:00:00,25.1,"RP-984260-41231"
"134152",2020-01-05 03:00:00,28.8,"RP-984260-41231"
"139156",2020-01-05 06:00:00,30,"RP-984260-41231"
"144150",2020-01-05 09:00:00,28.5,"RP-984260-41231"
"148150",2020-01-05 12:00:00,27,"RP-984260-41231"
"152148",2020-01-05 15:00:00,26.3,"RP-984260-41231"
"156150",2020-01-05 18:00:00,25.9,"RP-984260-41231"
"160151",2020-01-05 21:00:00,25.5,"RP-984260-41231"
"164150",2020-01-06 00:00:00,26.2,"RP-984260-41231"
"168145",2020-01-06 03:00:00,28.8,"RP-984260-41231"
"172152",2020-01-06 06:00:00,30.2,"RP-984260-41231"
"176149",2020-01-06 09:00:00,29,"RP-984260-41231"
"180148",2020-01-06 12:00:00,25.5,"RP-984260-41231"
"184153",2020-01-06 15:00:00,25.1,"RP-984260-41231"
"188148",2020-01-06 18:00:00,24.2,"RP-984260-41231"
"192149",2020-01-06 21:00:00,24.8,"RP-984260-41231"
"196153",2020-01-07 00:00:00,25.9,"RP-984260-41231"
"200148",2020-01-07 03:00:00,30.1,"RP-984260-41231"
"204148",2020-01-07 06:00:00,31,"RP-984260-41231"
"208152",2020-01-07 09:00:00,28.8,"RP-984260-41231"
"212148",2020-01-07 12:00:00,25.7,"RP-984260-41231"
"216147",2020-01-07 15:00:00,25.6,"RP-984260-41231"
"220146",2020-01-07 18:00:00,24.9,"RP-984260-41231"
"224140",2020-01-07 21:00:00,23.3,"RP-984260-41231"
"228142",2020-01-08 00:00:00,26.2,"RP-984260-41231"
"232144",2020-01-08 03:00:00,30.1,"RP-984260-41231"
"236137",2020-01-08 06:00:00,30.7,"RP-984260-41231"
"240139",2020-01-08 09:00:00,29.8,"RP-984260-41231"
"245137",2020-01-08 12:00:00,26.3,"RP-984260-41231"
"249139",2020-01-08 15:00:00,25.8,"RP-984260-41231"
"253143",2020-01-08 18:00:00,23.9,"RP-984260-41231"
"257139",2020-01-08 21:00:00,24.8,"RP-984260-41231"
"261140",2020-01-09 00:00:00,25.9,"RP-984260-41231"
"265137",2020-01-09 03:00:00,30.2,"RP-984260-41231"
"269134",2020-01-09 06:00:00,31.4,"RP-984260-41231"
"273134",2020-01-09 09:00:00,28.7,"RP-984260-41231"
"277137",2020-01-09 12:00:00,26.2,"RP-984260-41231"
"281138",2020-01-09 15:00:00,24.8,"RP-984260-41231"
"288134",2020-01-09 21:00:00,24.2,"RP-984260-41231"
"292138",2020-01-10 00:00:00,26.1,"RP-984260-41231"
"296137",2020-01-10 03:00:00,28.4,"RP-984260-41231"
"300135",2020-01-10 06:00:00,30.1,"RP-984260-41231"
"304137",2020-01-10 09:00:00,28.7,"RP-984260-41231"
"308135",2020-01-10 12:00:00,26.4,"RP-984260-41231"
"312136",2020-01-10 15:00:00,24.2,"RP-984260-41231"
"316137",2020-01-10 18:00:00,23.5,"RP-984260-41231"
"320135",2020-01-10 21:00:00,23,"RP-984260-41231"
"324135",2020-01-11 00:00:00,24.7,"RP-984260-41231"
"328136",2020-01-11 03:00:00,28.9,"RP-984260-41231"
"332136",2020-01-11 06:00:00,30.8,"RP-984260-41231"
"336136",2020-01-11 09:00:00,28,"RP-984260-41231"
"345134",2020-01-11 21:00:00,24.6,"RP-984260-41231"
"349138",2020-01-12 00:00:00,24.7,"RP-984260-41231"
"356133",2020-01-12 06:00:00,29.5,"RP-984260-41231"
"360132",2020-01-12 09:00:00,27.7,"RP-984260-41231"
"364136",2020-01-12 12:00:00,26.6,"RP-984260-41231"
"368134",2020-01-12 15:00:00,24.5,"RP-984260-41231"
"372136",2020-01-12 18:00:00,24.8,"RP-984260-41231"
"376136",2020-01-12 21:00:00,23.4,"RP-984260-41231"
"380132",2020-01-13 00:00:00,24.8,"RP-984260-41231"
"384134",2020-01-13 03:00:00,27.8,"RP-984260-41231"
"388136",2020-01-13 06:00:00,30,"RP-984260-41231"
"392134",2020-01-13 09:00:00,28.5,"RP-984260-41231"
"396133",2020-01-13 12:00:00,26.1,"RP-984260-41231"
"400135",2020-01-13 15:00:00,25.9,"RP-984260-41231"
"404132",2020-01-13 18:00:00,24.7,"RP-984260-41231"
"409134",2020-01-14 00:00:00,26.3,"RP-984260-41231"
"413134",2020-01-14 03:00:00,30.9,"RP-984260-41231"
"417132",2020-01-14 06:00:00,32,"RP-984260-41231"
"421138",2020-01-14 09:00:00,29.6,"RP-984260-41231"
"425131",2020-01-14 12:00:00,26.9,"RP-984260-41231"
"429131",2020-01-14 15:00:00,25.8,"RP-984260-41231"
"433133",2020-01-14 18:00:00,25.7,"RP-984260-41231"
"437133",2020-01-14 21:00:00,24.6,"RP-984260-41231"
"441137",2020-01-15 00:00:00,26.6,"RP-984260-41231"
"445136",2020-01-15 03:00:00,30.8,"RP-984260-41231"
"450132",2020-01-15 06:00:00,30.7,"RP-984260-41231"
"454136",2020-01-15 09:00:00,29,"RP-984260-41231"
"458131",2020-01-15 12:00:00,26.3,"RP-984260-41231"
"461138",2020-01-15 15:00:00,24.2,"RP-984260-41231"
"465134",2020-01-15 18:00:00,24.7,"RP-984260-41231"
"469137",2020-01-15 21:00:00,24.9,"RP-984260-41231"
"473134",2020-01-16 00:00:00,26.1,"RP-984260-41231"
"477134",2020-01-16 03:00:00,30.4,"RP-984260-41231"
"481140",2020-01-16 06:00:00,32.4,"RP-984260-41231"
"485132",2020-01-16 09:00:00,28.8,"RP-984260-41231"
"489133",2020-01-16 12:00:00,27.2,"RP-984260-41231"
"493136",2020-01-16 15:00:00,25.4,"RP-984260-41231"
"497130",2020-01-16 18:00:00,23.9,"RP-984260-41231"
"501135",2020-01-16 21:00:00,23.1,"RP-984260-41231"
"505132",2020-01-17 00:00:00,25.2,"RP-984260-41231"
"509131",2020-01-17 03:00:00,30.9,"RP-984260-41231"
"513135",2020-01-17 06:00:00,30.4,"RP-984260-41231"
"517133",2020-01-17 09:00:00,29.1,"RP-984260-41231"
"521138",2020-01-17 12:00:00,27.2,"RP-984260-41231"
"525132",2020-01-17 15:00:00,25.6,"RP-984260-41231"
"529134",2020-01-17 18:00:00,24.3,"RP-984260-41231"
"533134",2020-01-17 21:00:00,23.6,"RP-984260-41231"
"537133",2020-01-18 00:00:00,25.7,"RP-984260-41231"
"541137",2020-01-18 03:00:00,29.8,"RP-984260-41231"
"545132",2020-01-18 06:00:00,30.5,"RP-984260-41231"
"549134",2020-01-18 09:00:00,28.9,"RP-984260-41231"
"553133",2020-01-18 12:00:00,27,"RP-984260-41231"
"557133",2020-01-18 15:00:00,25.1,"RP-984260-41231"
"561136",2020-01-18 18:00:00,24,"RP-984260-41231"
"565132",2020-01-18 21:00:00,24,"RP-984260-41231"
"569130",2020-01-19 00:00:00,25,"RP-984260-41231"
"573132",2020-01-19 03:00:00,30.5,"RP-984260-41231"
"577133",2020-01-19 06:00:00,31.6,"RP-984260-41231"
"581136",2020-01-19 09:00:00,30,"RP-984260-41231"
"585131",2020-01-19 12:00:00,25.5,"RP-984260-41231"
"589132",2020-01-19 15:00:00,24.5,"RP-984260-41231"
"593132",2020-01-19 18:00:00,23.8,"RP-984260-41231"
"597130",2020-01-19 21:00:00,22.8,"RP-984260-41231"
"601137",2020-01-20 00:00:00,25.4,"RP-984260-41231"
"605130",2020-01-20 03:00:00,28.5,"RP-984260-41231"
"609129",2020-01-20 06:00:00,30.4,"RP-984260-41231"
"613132",2020-01-20 09:00:00,29,"RP-984260-41231"
"617130",2020-01-20 12:00:00,25.3,"RP-984260-41231"
"621133",2020-01-20 15:00:00,24.5,"RP-984260-41231"
"625131",2020-01-20 18:00:00,23.6,"RP-984260-41231"
"629129",2020-01-20 21:00:00,22,"RP-984260-41231"
"633133",2020-01-21 00:00:00,24.3,"RP-984260-41231"
"637133",2020-01-21 03:00:00,28.9,"RP-984260-41231"
"641132",2020-01-21 06:00:00,28.7,"RP-984260-41231"
"645129",2020-01-21 09:00:00,28.5,"RP-984260-41231"
"649131",2020-01-21 12:00:00,25.4,"RP-984260-41231"
"653130",2020-01-21 15:00:00,23.4,"RP-984260-41231"
"657129",2020-01-21 18:00:00,23.1,"RP-984260-41231"
"661133",2020-01-21 21:00:00,22.4,"RP-984260-41231"
"665129",2020-01-22 00:00:00,25.3,"RP-984260-41231"
"669129",2020-01-22 03:00:00,29.6,"RP-984260-41231"
"673132",2020-01-22 06:00:00,30.9,"RP-984260-41231"
"678129",2020-01-22 09:00:00,29.4,"RP-984260-41231"
"682133",2020-01-22 12:00:00,25.6,"RP-984260-41231"
"686129",2020-01-22 15:00:00,24.4,"RP-984260-41231"
"690128",2020-01-22 18:00:00,23.1,"RP-984260-41231"
"694130",2020-01-22 21:00:00,20.8,"RP-984260-41231"
"698127",2020-01-23 00:00:00,24.9,"RP-984260-41231"
"702127",2020-01-23 03:00:00,29.7,"RP-984260-41231"
"706130",2020-01-23 06:00:00,30.5,"RP-984260-41231"
"710132",2020-01-23 09:00:00,29.1,"RP-984260-41231"
"714127",2020-01-23 12:00:00,24.5,"RP-984260-41231"
"721132",2020-01-23 18:00:00,24.6,"RP-984260-41231"
"725127",2020-01-23 21:00:00,25.5,"RP-984260-41231"
"729126",2020-01-24 00:00:00,26.6,"RP-984260-41231"
"733129",2020-01-24 03:00:00,28.5,"RP-984260-41231"
"737126",2020-01-24 06:00:00,28.3,"RP-984260-41231"
"741129",2020-01-24 09:00:00,25.4,"RP-984260-41231"
"745129",2020-01-24 12:00:00,24.1,"RP-984260-41231"
"749127",2020-01-24 15:00:00,24.7,"RP-984260-41231"
"753125",2020-01-24 18:00:00,23.9,"RP-984260-41231"
"757126",2020-01-24 21:00:00,23.9,"RP-984260-41231"
"761130",2020-01-25 00:00:00,25.3,"RP-984260-41231"
"765109",2020-01-25 03:00:00,28.4,"RP-984260-41231"
"769125",2020-01-25 06:00:00,30,"RP-984260-41231"
"773124",2020-01-25 09:00:00,28.6,"RP-984260-41231"
"777125",2020-01-25 12:00:00,26.9,"RP-984260-41231"
"781127",2020-01-25 15:00:00,25.4,"RP-984260-41231"
"785121",2020-01-25 18:00:00,24.4,"RP-984260-41231"
"789123",2020-01-25 21:00:00,23.8,"RP-984260-41231"
"793123",2020-01-26 00:00:00,25.7,"RP-984260-41231"
"797122",2020-01-26 03:00:00,28.9,"RP-984260-41231"
"801129",2020-01-26 06:00:00,29.3,"RP-984260-41231"
"805121",2020-01-26 09:00:00,29.6,"RP-984260-41231"
"809122",2020-01-26 12:00:00,26.7,"RP-984260-41231"
"813123",2020-01-26 15:00:00,25.8,"RP-984260-41231"
"817109",2020-01-26 18:00:00,24.9,"RP-984260-41231"
"821123",2020-01-26 21:00:00,23.4,"RP-984260-41231"
"825123",2020-01-27 00:00:00,24.9,"RP-984260-41231"
"829109",2020-01-27 03:00:00,29.1,"RP-984260-41231"
"833109",2020-01-27 06:00:00,29.1,"RP-984260-41231"
"837122",2020-01-27 09:00:00,27.8,"RP-984260-41231"
"841109",2020-01-27 12:00:00,26,"RP-984260-41231"
"845105",2020-01-27 15:00:00,24,"RP-984260-41231"
"849106",2020-01-27 18:00:00,23.5,"RP-984260-41231"
"853101",2020-01-27 21:00:00,22,"RP-984260-41231"
"857101",2020-01-28 00:00:00,23.1,"RP-984260-41231"
"861108",2020-01-28 03:00:00,27.8,"RP-984260-41231"
"865101",2020-01-28 06:00:00,28.9,"RP-984260-41231"
"869101",2020-01-28 09:00:00,29,"RP-984260-41231"
"87359",2020-01-28 12:00:00,25.4,"RP-984260-41231"
"87659",2020-01-28 15:00:00,23.7,"RP-984260-41231"
"88045",2020-01-28 18:00:00,22,"RP-984260-41231"
"88446",2020-01-28 21:00:00,21.4,"RP-984260-41231"
"88847",2020-01-29 00:00:00,22.6,"RP-984260-41231"
"89247",2020-01-29 03:00:00,27.5,"RP-984260-41231"
"89645",2020-01-29 06:00:00,28.6,"RP-984260-41231"
"90048",2020-01-29 09:00:00,28.3,"RP-984260-41231"
"90446",2020-01-29 12:00:00,25.7,"RP-984260-41231"
"90844",2020-01-29 15:00:00,25,"RP-984260-41231"
"91248",2020-01-29 18:00:00,22.5,"RP-984260-41231"
"91645",2020-01-29 21:00:00,21.6,"RP-984260-41231"
"92043",2020-01-30 00:00:00,23.5,"RP-984260-41231"
"92449",2020-01-30 03:00:00,27.4,"RP-984260-41231"
"92849",2020-01-30 06:00:00,28.7,"RP-984260-41231"
"93248",2020-01-30 09:00:00,27.3,"RP-984260-41231"
"93649",2020-01-30 12:00:00,24.9,"RP-984260-41231"
"94049",2020-01-30 15:00:00,22.2,"RP-984260-41231"
"94747",2020-01-30 21:00:00,20,"RP-984260-41231"
"95166",2020-01-31 00:00:00,21.8,"RP-984260-41231"
"95546",2020-01-31 03:00:00,27.8,"RP-984260-41231"
"95945",2020-01-31 06:00:00,29.2,"RP-984260-41231"
"96346",2020-01-31 09:00:00,27.4,"RP-984260-41231"
"96743",2020-01-31 12:00:00,24.8,"RP-984260-41231"
"97173",2020-01-31 15:00:00,22.2,"RP-984260-41231"
"97547",2020-01-31 18:00:00,22.3,"RP-984260-41231"
"97945",2020-01-31 21:00:00,23.1,"RP-984260-41231"
"98346",2020-02-01 00:00:00,24.2,"RP-984260-41231"
"98746",2020-02-01 03:00:00,26.8,"RP-984260-41231"
"99169",2020-02-01 06:00:00,29.3,"RP-984260-41231"
"99544",2020-02-01 09:00:00,27.7,"RP-984260-41231"
"99947",2020-02-01 12:00:00,24.5,"RP-984260-41231"
"100346",2020-02-01 15:00:00,22,"RP-984260-41231"
"100745",2020-02-01 18:00:00,22.1,"RP-984260-41231"
"101170",2020-02-01 21:00:00,22.7,"RP-984260-41231"
"101547",2020-02-02 00:00:00,23.5,"RP-984260-41231"
"101946",2020-02-02 03:00:00,27.9,"RP-984260-41231"
"102347",2020-02-02 06:00:00,28.6,"RP-984260-41231"
"102747",2020-02-02 09:00:00,27.2,"RP-984260-41231"
"103174",2020-02-02 12:00:00,24.1,"RP-984260-41231"
"103547",2020-02-02 15:00:00,21.9,"RP-984260-41231"
"103943",2020-02-02 18:00:00,21.5,"RP-984260-41231"
"104345",2020-02-02 21:00:00,20.6,"RP-984260-41231"
"104747",2020-02-03 00:00:00,23.9,"RP-984260-41231"
"105168",2020-02-03 03:00:00,26.7,"RP-984260-41231"
"105543",2020-02-03 06:00:00,28.5,"RP-984260-41231"
"105946",2020-02-03 09:00:00,26.5,"RP-984260-41231"
"106347",2020-02-03 12:00:00,24.2,"RP-984260-41231"
"106744",2020-02-03 15:00:00,21.7,"RP-984260-41231"
"107166",2020-02-03 18:00:00,20.3,"RP-984260-41231"
"107547",2020-02-03 21:00:00,17.7,"RP-984260-41231"
"107945",2020-02-04 00:00:00,22.5,"RP-984260-41231"
"108347",2020-02-04 03:00:00,28,"RP-984260-41231"
"108745",2020-02-04 06:00:00,28,"RP-984260-41231"
"109173",2020-02-04 09:00:00,28.9,"RP-984260-41231"
"109548",2020-02-04 12:00:00,25.9,"RP-984260-41231"
"109949",2020-02-04 15:00:00,22.7,"RP-984260-41231"
"110346",2020-02-04 18:00:00,20.2,"RP-984260-41231"
"110946",2020-02-05 00:00:00,23.4,"RP-984260-41231"
"111348",2020-02-05 03:00:00,29,"RP-984260-41231"
"111747",2020-02-05 06:00:00,31.8,"RP-984260-41231"
"112169",2020-02-05 09:00:00,29.8,"RP-984260-41231"
"112545",2020-02-05 12:00:00,26.4,"RP-984260-41231"
"112944",2020-02-05 15:00:00,25,"RP-984260-41231"
"113346",2020-02-05 18:00:00,25.5,"RP-984260-41231"
"113747",2020-02-05 21:00:00,25.1,"RP-984260-41231"
"114166",2020-02-06 00:00:00,26.3,"RP-984260-41231"
"114546",2020-02-06 03:00:00,31.1,"RP-984260-41231"
"114949",2020-02-06 06:00:00,31.4,"RP-984260-41231"
"115644",2020-02-06 12:00:00,26.5,"RP-984260-41231"
"116044",2020-02-06 15:00:00,25.3,"RP-984260-41231"
"116745",2020-02-06 21:00:00,25.4,"RP-984260-41231"
"117163",2020-02-07 00:00:00,24.7,"RP-984260-41231"
"117545",2020-02-07 03:00:00,27.1,"RP-984260-41231"
"117943",2020-02-07 06:00:00,32.8,"RP-984260-41231"
"118342",2020-02-07 09:00:00,30.2,"RP-984260-41231"
"118745",2020-02-07 12:00:00,28.1,"RP-984260-41231"
"119159",2020-02-07 15:00:00,25.8,"RP-984260-41231"
"119639",2020-02-07 18:00:00,23.9,"RP-984260-41231"
"120046",2020-02-07 21:00:00,23.9,"RP-984260-41231"
"120440",2020-02-08 00:00:00,24.8,"RP-984260-41231"
"120845",2020-02-08 03:00:00,27.7,"RP-984260-41231"
"121245",2020-02-08 06:00:00,30.4,"RP-984260-41231"
"121645",2020-02-08 09:00:00,29.8,"RP-984260-41231"
"122040",2020-02-08 12:00:00,27.2,"RP-984260-41231"
"122440",2020-02-08 15:00:00,26.1,"RP-984260-41231"
"122838",2020-02-08 18:00:00,25.7,"RP-984260-41231"
"123240",2020-02-08 21:00:00,25.6,"RP-984260-41231"
"123637",2020-02-09 00:00:00,25.4,"RP-984260-41231"
"124036",2020-02-09 03:00:00,28.9,"RP-984260-41231"
"124439",2020-02-09 06:00:00,30.1,"RP-984260-41231"
"124838",2020-02-09 09:00:00,28.4,"RP-984260-41231"
"125238",2020-02-09 12:00:00,25.6,"RP-984260-41231"
"125637",2020-02-09 15:00:00,25,"RP-984260-41231"
"126037",2020-02-09 18:00:00,24.7,"RP-984260-41231"
"126437",2020-02-09 21:00:00,24.3,"RP-984260-41231"
"126837",2020-02-10 00:00:00,25.1,"RP-984260-41231"
"127238",2020-02-10 03:00:00,28.2,"RP-984260-41231"
"127637",2020-02-10 06:00:00,29.6,"RP-984260-41231"
"128037",2020-02-10 09:00:00,27.5,"RP-984260-41231"
"128437",2020-02-10 12:00:00,24.4,"RP-984260-41231"
"128837",2020-02-10 15:00:00,23.5,"RP-984260-41231"
"129238",2020-02-10 18:00:00,23.5,"RP-984260-41231"
"129636",2020-02-10 21:00:00,23.7,"RP-984260-41231"
"130037",2020-02-11 00:00:00,25.3,"RP-984260-41231"
"130437",2020-02-11 03:00:00,28.4,"RP-984260-41231"
"130837",2020-02-11 06:00:00,30,"RP-984260-41231"
"131238",2020-02-11 09:00:00,28.4,"RP-984260-41231"
"131636",2020-02-11 12:00:00,25,"RP-984260-41231"
"132036",2020-02-11 15:00:00,23.1,"RP-984260-41231"
"132437",2020-02-11 18:00:00,21.8,"RP-984260-41231"
"132837",2020-02-11 21:00:00,21.5,"RP-984260-41231"
"133239",2020-02-12 00:00:00,24.3,"RP-984260-41231"
"133636",2020-02-12 03:00:00,28.8,"RP-984260-41231"
"134037",2020-02-12 06:00:00,29.9,"RP-984260-41231"
"134438",2020-02-12 09:00:00,30.1,"RP-984260-41231"
"134837",2020-02-12 12:00:00,24.3,"RP-984260-41231"
"135237",2020-02-12 15:00:00,23.8,"RP-984260-41231"
"135637",2020-02-12 18:00:00,23.1,"RP-984260-41231"
"136037",2020-02-12 21:00:00,22.1,"RP-984260-41231"
"136436",2020-02-13 00:00:00,24.9,"RP-984260-41231"
"136836",2020-02-13 03:00:00,28.2,"RP-984260-41231"
"137238",2020-02-13 06:00:00,30.2,"RP-984260-41231"
"137637",2020-02-13 09:00:00,29.1,"RP-984260-41231"
"138037",2020-02-13 12:00:00,25.6,"RP-984260-41231"
"138437",2020-02-13 15:00:00,24,"RP-984260-41231"
"138837",2020-02-13 18:00:00,23.3,"RP-984260-41231"
"139238",2020-02-13 21:00:00,23.6,"RP-984260-41231"
"139637",2020-02-14 00:00:00,25.6,"RP-984260-41231"
"140037",2020-02-14 03:00:00,29.7,"RP-984260-41231"
"140438",2020-02-14 06:00:00,31.5,"RP-984260-41231"
"140837",2020-02-14 09:00:00,31.1,"RP-984260-41231"
"141238",2020-02-14 12:00:00,27.3,"RP-984260-41231"
"141636",2020-02-14 15:00:00,24.9,"RP-984260-41231"
"142038",2020-02-14 18:00:00,24.9,"RP-984260-41231"
"142436",2020-02-14 21:00:00,23,"RP-984260-41231"
"142835",2020-02-15 00:00:00,26.3,"RP-984260-41231"
"143235",2020-02-15 03:00:00,31.3,"RP-984260-41231"
"143635",2020-02-15 06:00:00,31.9,"RP-984260-41231"
"144034",2020-02-15 09:00:00,30.8,"RP-984260-41231"
"144435",2020-02-15 12:00:00,27.4,"RP-984260-41231"
"144836",2020-02-15 15:00:00,25.3,"RP-984260-41231"
"145237",2020-02-15 18:00:00,23.5,"RP-984260-41231"
"145633",2020-02-15 21:00:00,22.6,"RP-984260-41231"
"146035",2020-02-16 00:00:00,24.6,"RP-984260-41231"
"146435",2020-02-16 03:00:00,30.9,"RP-984260-41231"
