"","date","t2m","site"
"59238",2020-01-01 01:00:00,29.2,"AS-957210-99999"
"59239",2020-01-01 02:00:00,32.5,"AS-957210-99999"
"59240",2020-01-01 04:00:00,35.4,"AS-957210-99999"
"59241",2020-01-01 05:00:00,35.5,"AS-957210-99999"
"59242",2020-01-01 07:00:00,34.9,"AS-957210-99999"
"59243",2020-01-01 08:00:00,34.2,"AS-957210-99999"
"59244",2020-01-01 10:00:00,26.7,"AS-957210-99999"
"59245",2020-01-01 11:00:00,25.7,"AS-957210-99999"
"59246",2020-01-01 13:00:00,23.7,"AS-957210-99999"
"59247",2020-01-01 14:00:00,22.2,"AS-957210-99999"
"59248",2020-01-01 16:00:00,18.6,"AS-957210-99999"
"59249",2020-01-01 17:00:00,17.7,"AS-957210-99999"
"59250",2020-01-01 19:00:00,16.7,"AS-957210-99999"
"59251",2020-01-01 20:00:00,17.2,"AS-957210-99999"
"59252",2020-01-01 22:00:00,23.2,"AS-957210-99999"
"59253",2020-01-01 23:00:00,25.6,"AS-957210-99999"
"59254",2020-01-02 01:00:00,31,"AS-957210-99999"
"59255",2020-01-02 02:00:00,33.9,"AS-957210-99999"
"59256",2020-01-02 04:00:00,36.9,"AS-957210-99999"
"59257",2020-01-02 05:00:00,38.2,"AS-957210-99999"
"59258",2020-01-02 07:00:00,37.9,"AS-957210-99999"
"59259",2020-01-02 08:00:00,36.7,"AS-957210-99999"
"59260",2020-01-02 10:00:00,32.1,"AS-957210-99999"
"59261",2020-01-02 11:00:00,28.7,"AS-957210-99999"
"59262",2020-01-02 13:00:00,25.7,"AS-957210-99999"
"59263",2020-01-02 14:00:00,25.7,"AS-957210-99999"
"59264",2020-01-02 16:00:00,23.2,"AS-957210-99999"
"59265",2020-01-02 17:00:00,22.1,"AS-957210-99999"
"59266",2020-01-02 19:00:00,20.7,"AS-957210-99999"
"59267",2020-01-02 20:00:00,21.5,"AS-957210-99999"
"59268",2020-01-02 22:00:00,27.1,"AS-957210-99999"
"59269",2020-01-02 23:00:00,30.1,"AS-957210-99999"
"59270",2020-01-03 01:00:00,35.2,"AS-957210-99999"
"59271",2020-01-03 02:00:00,36.7,"AS-957210-99999"
"59272",2020-01-03 04:00:00,40.9,"AS-957210-99999"
"59273",2020-01-03 05:00:00,40.2,"AS-957210-99999"
"59274",2020-01-03 07:00:00,40.4,"AS-957210-99999"
