"","date","t2m","site"
"128965",2020-01-01,-1,"AU-112900-99999"
"128966",2020-01-01 01:00:00,-1.2,"AU-112900-99999"
"128967",2020-01-01 02:00:00,-1.8,"AU-112900-99999"
"128968",2020-01-01 03:00:00,-2.1,"AU-112900-99999"
"128969",2020-01-01 04:00:00,-2.2,"AU-112900-99999"
"128970",2020-01-01 05:00:00,-2.3,"AU-112900-99999"
"128971",2020-01-01 06:00:00,-2.5,"AU-112900-99999"
"128972",2020-01-01 07:00:00,-2.8,"AU-112900-99999"
"128973",2020-01-01 08:00:00,-2.1,"AU-112900-99999"
"128974",2020-01-01 09:00:00,1,"AU-112900-99999"
"128975",2020-01-01 10:00:00,2.3,"AU-112900-99999"
"128976",2020-01-01 11:00:00,2.9,"AU-112900-99999"
"128977",2020-01-01 12:00:00,4.1,"AU-112900-99999"
"128978",2020-01-01 13:00:00,4.6,"AU-112900-99999"
"128979",2020-01-01 14:00:00,5,"AU-112900-99999"
"128980",2020-01-01 15:00:00,4,"AU-112900-99999"
"128981",2020-01-01 16:00:00,2.7,"AU-112900-99999"
"128982",2020-01-01 17:00:00,0.8,"AU-112900-99999"
"128983",2020-01-01 18:00:00,-0.1,"AU-112900-99999"
"128984",2020-01-01 19:00:00,-0.9,"AU-112900-99999"
"128985",2020-01-01 20:00:00,-1.4,"AU-112900-99999"
"128986",2020-01-01 21:00:00,-1.7,"AU-112900-99999"
"128987",2020-01-01 22:00:00,-1.9,"AU-112900-99999"
"128988",2020-01-01 23:00:00,-2.5,"AU-112900-99999"
"128989",2020-01-02,-2.8,"AU-112900-99999"
"128990",2020-01-02 01:00:00,-3.3,"AU-112900-99999"
"128991",2020-01-02 02:00:00,-3.6,"AU-112900-99999"
"128992",2020-01-02 03:00:00,-3.9,"AU-112900-99999"
"128993",2020-01-02 04:00:00,-4.1,"AU-112900-99999"
"128994",2020-01-02 06:00:00,-4.6,"AU-112900-99999"
"128995",2020-01-02 07:00:00,-4.6,"AU-112900-99999"
"128996",2020-01-02 08:00:00,-4,"AU-112900-99999"
"128997",2020-01-02 09:00:00,0.3,"AU-112900-99999"
"128998",2020-01-02 10:00:00,2.4,"AU-112900-99999"
"128999",2020-01-02 11:00:00,3.3,"AU-112900-99999"
"129000",2020-01-02 12:00:00,4.7,"AU-112900-99999"
"129001",2020-01-02 13:00:00,6.7,"AU-112900-99999"
"129002",2020-01-02 14:00:00,7.9,"AU-112900-99999"
"129003",2020-01-02 15:00:00,6.2,"AU-112900-99999"
"129004",2020-01-02 16:00:00,2.7,"AU-112900-99999"
"129005",2020-01-02 17:00:00,1.1,"AU-112900-99999"
"129006",2020-01-02 18:00:00,-0.3,"AU-112900-99999"
"129007",2020-01-02 19:00:00,-0.9,"AU-112900-99999"
"129008",2020-01-02 20:00:00,-1.3,"AU-112900-99999"
"129009",2020-01-02 21:00:00,-1.8,"AU-112900-99999"
"129010",2020-01-02 22:00:00,-2.1,"AU-112900-99999"
"129011",2020-01-02 23:00:00,-2.5,"AU-112900-99999"
"129012",2020-01-03,-2.7,"AU-112900-99999"
"129013",2020-01-03 01:00:00,-3.1,"AU-112900-99999"
"129014",2020-01-03 03:00:00,-3.5,"AU-112900-99999"
"129015",2020-01-03 04:00:00,-3.5,"AU-112900-99999"
"129016",2020-01-03 05:00:00,-3.6,"AU-112900-99999"
"129017",2020-01-03 06:00:00,-3.5,"AU-112900-99999"
"129018",2020-01-03 07:00:00,-3.5,"AU-112900-99999"
"129019",2020-01-03 08:00:00,-3.3,"AU-112900-99999"
"129020",2020-01-03 09:00:00,0.7,"AU-112900-99999"
"129021",2020-01-03 10:00:00,2.5,"AU-112900-99999"
"129022",2020-01-03 11:00:00,4.3,"AU-112900-99999"
"129023",2020-01-03 12:00:00,4.1,"AU-112900-99999"
"129024",2020-01-03 13:00:00,4,"AU-112900-99999"
"129025",2020-01-03 14:00:00,4.8,"AU-112900-99999"
"129026",2020-01-03 15:00:00,3.9,"AU-112900-99999"
"129027",2020-01-03 16:00:00,2,"AU-112900-99999"
"129028",2020-01-03 17:00:00,0.4,"AU-112900-99999"
"129029",2020-01-03 18:00:00,-0.3,"AU-112900-99999"
"129030",2020-01-03 19:00:00,-0.2,"AU-112900-99999"
"129031",2020-01-03 20:00:00,0.2,"AU-112900-99999"
"129032",2020-01-03 21:00:00,0,"AU-112900-99999"
"129033",2020-01-03 22:00:00,-0.2,"AU-112900-99999"
"129034",2020-01-03 23:00:00,-0.3,"AU-112900-99999"
"129035",2020-01-04,-0.6,"AU-112900-99999"
"129036",2020-01-04 01:00:00,-0.9,"AU-112900-99999"
"129037",2020-01-04 02:00:00,-1.5,"AU-112900-99999"
"129038",2020-01-04 03:00:00,-1.6,"AU-112900-99999"
"129039",2020-01-04 04:00:00,-1.7,"AU-112900-99999"
"129040",2020-01-04 05:00:00,-1.9,"AU-112900-99999"
"129041",2020-01-04 06:00:00,-2.1,"AU-112900-99999"
"129042",2020-01-04 07:00:00,-2.1,"AU-112900-99999"
"129043",2020-01-04 08:00:00,-1.5,"AU-112900-99999"
"129044",2020-01-04 09:00:00,2.7,"AU-112900-99999"
"129045",2020-01-04 10:00:00,3.8,"AU-112900-99999"
"129046",2020-01-04 11:00:00,3.9,"AU-112900-99999"
"129047",2020-01-04 12:00:00,3.7,"AU-112900-99999"
"129048",2020-01-04 13:00:00,4.7,"AU-112900-99999"
"129049",2020-01-04 14:00:00,5.1,"AU-112900-99999"
"129050",2020-01-04 15:00:00,4.5,"AU-112900-99999"
"129051",2020-01-04 16:00:00,4.3,"AU-112900-99999"
"129052",2020-01-04 17:00:00,4.9,"AU-112900-99999"
"129053",2020-01-04 18:00:00,5.8,"AU-112900-99999"
"129054",2020-01-04 19:00:00,7.3,"AU-112900-99999"
"129055",2020-01-04 20:00:00,6.1,"AU-112900-99999"
"129056",2020-01-04 21:00:00,5.7,"AU-112900-99999"
"129057",2020-01-04 22:00:00,3,"AU-112900-99999"
"129058",2020-01-04 23:00:00,3.5,"AU-112900-99999"
"129059",2020-01-05,4.4,"AU-112900-99999"
"129060",2020-01-05 01:00:00,3.9,"AU-112900-99999"
"129061",2020-01-05 02:00:00,2.8,"AU-112900-99999"
"129062",2020-01-05 03:00:00,2.7,"AU-112900-99999"
"129063",2020-01-05 04:00:00,2.8,"AU-112900-99999"
"129064",2020-01-05 05:00:00,2,"AU-112900-99999"
"129065",2020-01-05 07:00:00,0,"AU-112900-99999"
"129066",2020-01-05 08:00:00,2.5,"AU-112900-99999"
"129067",2020-01-05 09:00:00,5.2,"AU-112900-99999"
"129068",2020-01-05 10:00:00,5.6,"AU-112900-99999"
"129069",2020-01-05 11:00:00,5.9,"AU-112900-99999"
"129070",2020-01-05 12:00:00,6.4,"AU-112900-99999"
"129071",2020-01-05 13:00:00,6.9,"AU-112900-99999"
"129072",2020-01-05 15:00:00,5.4,"AU-112900-99999"
"129073",2020-01-05 16:00:00,4.3,"AU-112900-99999"
"129074",2020-01-05 17:00:00,2,"AU-112900-99999"
"129075",2020-01-05 18:00:00,0.7,"AU-112900-99999"
"129076",2020-01-05 19:00:00,-0.2,"AU-112900-99999"
"129077",2020-01-05 20:00:00,-0.9,"AU-112900-99999"
"129078",2020-01-05 21:00:00,-1,"AU-112900-99999"
"129079",2020-01-05 22:00:00,-1.2,"AU-112900-99999"
"129080",2020-01-05 23:00:00,-1.6,"AU-112900-99999"
"129081",2020-01-06,-2.8,"AU-112900-99999"
"129082",2020-01-06 01:00:00,-3,"AU-112900-99999"
