"","date","t2m","site"
"11040",2020-01-01 01:00:00,-3.8,"AY-893760-99999"
"21020",2020-01-01 06:00:00,-3.5,"AY-893760-99999"
"31007",2020-01-01 11:00:00,-7.1,"AY-893760-99999"
"41008",2020-01-01 12:00:00,-9.8,"AY-893760-99999"
"51008",2020-01-01 13:00:00,-11,"AY-893760-99999"
"61007",2020-01-01 18:00:00,-9,"AY-893760-99999"
"71008",2020-01-01 23:00:00,-5.4,"AY-893760-99999"
"8849",2020-01-02 06:00:00,-4.8,"AY-893760-99999"
"9240",2020-01-02 10:00:00,-7.6,"AY-893760-99999"
"10280",2020-01-02 11:00:00,-7.4,"AY-893760-99999"
"11179",2020-01-02 13:00:00,-8,"AY-893760-99999"
"12180",2020-01-02 16:00:00,-12.1,"AY-893760-99999"
"13119",2020-01-02 18:00:00,-10.9,"AY-893760-99999"
"14125",2020-01-03 04:00:00,-5.1,"AY-893760-99999"
"15109",2020-01-03 09:00:00,-5.8,"AY-893760-99999"
"16120",2020-01-03 16:00:00,-8,"AY-893760-99999"
"17120",2020-01-03 21:00:00,-7.2,"AY-893760-99999"
"18109",2020-01-03 23:00:00,-6.8,"AY-893760-99999"
"19120",2020-01-04 02:00:00,-7.2,"AY-893760-99999"
"20120",2020-01-04 09:00:00,-9.3,"AY-893760-99999"
"21109",2020-01-04 14:00:00,-10.9,"AY-893760-99999"
"22108",2020-01-04 21:00:00,-8.1,"AY-893760-99999"
"23106",2020-01-05 02:00:00,-7.7,"AY-893760-99999"
"24106",2020-01-05 09:00:00,-11.8,"AY-893760-99999"
"25108",2020-01-05 14:00:00,-9.1,"AY-893760-99999"
"26106",2020-01-05 19:00:00,-8.7,"AY-893760-99999"
"27107",2020-01-06 05:00:00,-7.3,"AY-893760-99999"
"28107",2020-01-06 07:00:00,-7.8,"AY-893760-99999"
"29107",2020-01-06 12:00:00,-7.4,"AY-893760-99999"
"30107",2020-01-06 17:00:00,-6.5,"AY-893760-99999"
"31107",2020-01-07 01:00:00,-4.6,"AY-893760-99999"
"32107",2020-01-07 05:00:00,-5.6,"AY-893760-99999"
"33107",2020-01-07 06:00:00,-6.5,"AY-893760-99999"
"34108",2020-01-07 12:00:00,-9.8,"AY-893760-99999"
"35106",2020-01-07 15:00:00,-10,"AY-893760-99999"
"36107",2020-01-07 17:00:00,-10.2,"AY-893760-99999"
"37108",2020-01-07 22:00:00,-9.5,"AY-893760-99999"
"38106",2020-01-08 03:00:00,NA,"AY-893760-99999"
"39107",2020-01-08 08:00:00,-10.3,"AY-893760-99999"
"40107",2020-01-08 13:00:00,-11.1,"AY-893760-99999"
"41107",2020-01-08 15:00:00,-11.6,"AY-893760-99999"
"42107",2020-01-08 20:00:00,-9.7,"AY-893760-99999"
"43107",2020-01-09 08:00:00,-7.9,"AY-893760-99999"
"44106",2020-01-09 12:00:00,-9.7,"AY-893760-99999"
"45107",2020-01-09 15:00:00,-15,"AY-893760-99999"
"46108",2020-01-09 20:00:00,-10.5,"AY-893760-99999"
"47106",2020-01-10 01:00:00,-10.1,"AY-893760-99999"
"48106",2020-01-10 06:00:00,-11.8,"AY-893760-99999"
"49109",2020-01-10 10:00:00,-12.1,"AY-893760-99999"
"50107",2020-01-10 11:00:00,-12.2,"AY-893760-99999"
"51106",2020-01-10 13:00:00,-12.1,"AY-893760-99999"
"52107",2020-01-10 18:00:00,-11.9,"AY-893760-99999"
"53108",2020-01-10 23:00:00,-8.5,"AY-893760-99999"
"54106",2020-01-11 04:00:00,-8.1,"AY-893760-99999"
"55108",2020-01-11 11:00:00,-12.6,"AY-893760-99999"
"56106",2020-01-12 04:00:00,-10.6,"AY-893760-99999"
"57107",2020-01-12 11:00:00,-11.7,"AY-893760-99999"
"58109",2020-01-12 21:00:00,-9.5,"AY-893760-99999"
"59107",2020-01-13 02:00:00,-8.8,"AY-893760-99999"
"60106",2020-01-13 14:00:00,-10.8,"AY-893760-99999"
"61108",2020-01-13 19:00:00,-9.3,"AY-893760-99999"
"62107",2020-01-14 07:00:00,-5,"AY-893760-99999"
"63107",2020-01-14 10:00:00,-4.9,"AY-893760-99999"
"64108",2020-01-14 14:00:00,NA,"AY-893760-99999"
"65106",2020-01-14 17:00:00,-6.2,"AY-893760-99999"
"66106",2020-01-14 19:00:00,NA,"AY-893760-99999"
"67109",2020-01-15 07:00:00,-5.9,"AY-893760-99999"
"68107",2020-01-15 10:00:00,-6.4,"AY-893760-99999"
"69108",2020-01-15 15:00:00,-6.3,"AY-893760-99999"
"70106",2020-01-15 17:00:00,-6.1,"AY-893760-99999"
"71106",2020-01-15 22:00:00,-4.5,"AY-893760-99999"
"72106",2020-01-16 03:00:00,-2.3,"AY-893760-99999"
"73105",2020-01-16 05:00:00,-3.3,"AY-893760-99999"
"74104",2020-01-16 10:00:00,-4.5,"AY-893760-99999"
"75107",2020-01-16 15:00:00,-5.1,"AY-893760-99999"
"76106",2020-01-16 22:00:00,-4.2,"AY-893760-99999"
"77106",2020-01-17 08:00:00,-5.6,"AY-893760-99999"
"78107",2020-01-17 13:00:00,-8,"AY-893760-99999"
"79107",2020-01-17 20:00:00,-8.7,"AY-893760-99999"
"80105",2020-01-18 01:00:00,-9,"AY-893760-99999"
"81106",2020-01-18 08:00:00,-12.2,"AY-893760-99999"
"82105",2020-01-18 10:00:00,-12.4,"AY-893760-99999"
"83105",2020-01-18 13:00:00,-12.4,"AY-893760-99999"
"84104",2020-01-18 18:00:00,-12.3,"AY-893760-99999"
