"","date","t2m","site"
"71803",2020-01-01,-4.2,"BK-146540-99999"
"71804",2020-01-01 01:00:00,-4.9,"BK-146540-99999"
"71805",2020-01-01 02:00:00,-5.7,"BK-146540-99999"
"71806",2020-01-01 03:00:00,-6.2,"BK-146540-99999"
"71807",2020-01-01 04:00:00,-6.5,"BK-146540-99999"
"71808",2020-01-01 05:00:00,-6,"BK-146540-99999"
"71809",2020-01-01 06:00:00,-6.1,"BK-146540-99999"
"71810",2020-01-01 07:00:00,-5.5,"BK-146540-99999"
"71811",2020-01-01 08:00:00,-4.3,"BK-146540-99999"
"71812",2020-01-01 09:00:00,-2.7,"BK-146540-99999"
"71813",2020-01-01 10:00:00,-1.8,"BK-146540-99999"
"71814",2020-01-01 11:00:00,-0.5,"BK-146540-99999"
"71815",2020-01-01 12:00:00,0.9,"BK-146540-99999"
"71816",2020-01-01 13:00:00,1.6,"BK-146540-99999"
"71817",2020-01-01 14:00:00,1.5,"BK-146540-99999"
"71818",2020-01-01 15:00:00,0.5,"BK-146540-99999"
"71819",2020-01-01 16:00:00,-0.7,"BK-146540-99999"
"71820",2020-01-01 17:00:00,-2,"BK-146540-99999"
"71821",2020-01-01 18:00:00,-2.5,"BK-146540-99999"
"71822",2020-01-01 19:00:00,-2.7,"BK-146540-99999"
"71823",2020-01-01 20:00:00,-2.4,"BK-146540-99999"
"71824",2020-01-01 21:00:00,-2.4,"BK-146540-99999"
"71825",2020-01-01 22:00:00,-2.2,"BK-146540-99999"
"71826",2020-01-01 23:00:00,-2,"BK-146540-99999"
"71827",2020-01-02,-2,"BK-146540-99999"
"71828",2020-01-02 01:00:00,-2.1,"BK-146540-99999"
"71829",2020-01-02 02:00:00,-2.2,"BK-146540-99999"
"71830",2020-01-02 03:00:00,-3,"BK-146540-99999"
"71831",2020-01-02 04:00:00,-4,"BK-146540-99999"
"71832",2020-01-02 05:00:00,-4.1,"BK-146540-99999"
"71833",2020-01-02 06:00:00,-5,"BK-146540-99999"
"71834",2020-01-02 07:00:00,-5.2,"BK-146540-99999"
"71835",2020-01-02 08:00:00,-3,"BK-146540-99999"
"71836",2020-01-02 09:00:00,-2,"BK-146540-99999"
"71837",2020-01-02 10:00:00,-0.2,"BK-146540-99999"
"71838",2020-01-02 11:00:00,0,"BK-146540-99999"
"71839",2020-01-02 12:00:00,1,"BK-146540-99999"
"71840",2020-01-02 13:00:00,2.3,"BK-146540-99999"
"71841",2020-01-02 14:00:00,3.2,"BK-146540-99999"
"71842",2020-01-02 15:00:00,1,"BK-146540-99999"
"71843",2020-01-02 16:00:00,-1,"BK-146540-99999"
"71844",2020-01-02 17:00:00,-2,"BK-146540-99999"
"71845",2020-01-02 18:00:00,-2.5,"BK-146540-99999"
"71846",2020-01-02 19:00:00,-2.2,"BK-146540-99999"
"71847",2020-01-02 20:00:00,-2.9,"BK-146540-99999"
"71848",2020-01-02 21:00:00,-3,"BK-146540-99999"
"71849",2020-01-02 22:00:00,-4,"BK-146540-99999"
"71850",2020-01-02 23:00:00,-3.8,"BK-146540-99999"
"71851",2020-01-03,-4.1,"BK-146540-99999"
"71852",2020-01-03 01:00:00,-4.7,"BK-146540-99999"
"71853",2020-01-03 02:00:00,-5.1,"BK-146540-99999"
"71854",2020-01-03 03:00:00,-5.5,"BK-146540-99999"
"71855",2020-01-03 04:00:00,-6,"BK-146540-99999"
"71856",2020-01-03 05:00:00,-6.3,"BK-146540-99999"
"71857",2020-01-03 06:00:00,-7,"BK-146540-99999"
"71858",2020-01-03 07:00:00,-6.7,"BK-146540-99999"
"71859",2020-01-03 08:00:00,-3,"BK-146540-99999"
"71860",2020-01-03 09:00:00,-2.4,"BK-146540-99999"
"71861",2020-01-03 10:00:00,-1,"BK-146540-99999"
"71862",2020-01-03 11:00:00,-0.5,"BK-146540-99999"
"71863",2020-01-03 12:00:00,0.5,"BK-146540-99999"
"71864",2020-01-03 13:00:00,2,"BK-146540-99999"
"71865",2020-01-03 14:00:00,3,"BK-146540-99999"
"71866",2020-01-03 15:00:00,1.7,"BK-146540-99999"
