"","date","t2m","site"
"12590",2020-03-13 21:00:00,29.1,"FG-814080-99999"
"21480",2020-03-13 22:00:00,28,"FG-814080-99999"
"31049",2020-03-13 23:00:00,26.7,"FG-814080-99999"
"41050",2020-03-14 00:00:00,25.7,"FG-814080-99999"
"51049",2020-03-14 01:00:00,25.1,"FG-814080-99999"
"61040",2020-03-14 02:00:00,24.2,"FG-814080-99999"
"71049",2020-03-14 03:00:00,24,"FG-814080-99999"
"81008",2020-03-14 04:00:00,23.7,"FG-814080-99999"
"91003",2020-03-14 05:00:00,23.6,"FG-814080-99999"
"101003",2020-03-14 06:00:00,23.2,"FG-814080-99999"
"111003",2020-03-14 07:00:00,23.5,"FG-814080-99999"
"12600",2020-03-14 08:00:00,23.6,"FG-814080-99999"
"13400",2020-03-14 09:00:00,23,"FG-814080-99999"
"14400",2020-03-14 10:00:00,22.7,"FG-814080-99999"
"15300",2020-03-14 11:00:00,24.6,"FG-814080-99999"
"16700",2020-03-14 12:00:00,26.5,"FG-814080-99999"
"17290",2020-03-14 13:00:00,28,"FG-814080-99999"
"18600",2020-03-14 14:00:00,30,"FG-814080-99999"
"19700",2020-03-14 15:00:00,32.1,"FG-814080-99999"
"20600",2020-03-14 16:00:00,32.5,"FG-814080-99999"
"21500",2020-03-14 17:00:00,33.6,"FG-814080-99999"
"22170",2020-03-14 18:00:00,33.5,"FG-814080-99999"
"23149",2020-03-14 19:00:00,32.7,"FG-814080-99999"
"24159",2020-03-14 20:00:00,30.7,"FG-814080-99999"
"25159",2020-03-14 21:00:00,29.7,"FG-814080-99999"
"26149",2020-03-14 22:00:00,27.2,"FG-814080-99999"
"27149",2020-03-14 23:00:00,26,"FG-814080-99999"
"28149",2020-03-15 00:00:00,25.2,"FG-814080-99999"
"29150",2020-03-15 01:00:00,24.7,"FG-814080-99999"
"30150",2020-03-15 02:00:00,24.5,"FG-814080-99999"
"31150",2020-03-15 03:00:00,24.2,"FG-814080-99999"
"32149",2020-03-15 04:00:00,24.1,"FG-814080-99999"
"33150",2020-03-15 05:00:00,24,"FG-814080-99999"
"34150",2020-03-15 06:00:00,24,"FG-814080-99999"
"35149",2020-03-15 07:00:00,23.7,"FG-814080-99999"
"36150",2020-03-15 08:00:00,23.5,"FG-814080-99999"
"37150",2020-03-15 09:00:00,23.6,"FG-814080-99999"
"38149",2020-03-15 10:00:00,24,"FG-814080-99999"
