"","date","t2m","site"
"47632",2020-01-01,-2.9,"HU-128700-99999"
"47633",2020-01-01 01:00:00,-4.1,"HU-128700-99999"
"47634",2020-01-01 02:00:00,-1.1,"HU-128700-99999"
"47635",2020-01-01 03:00:00,-0.6,"HU-128700-99999"
"47636",2020-01-01 04:00:00,-2,"HU-128700-99999"
"47637",2020-01-01 05:00:00,-1.3,"HU-128700-99999"
"47638",2020-01-01 06:00:00,-1.2,"HU-128700-99999"
"47639",2020-01-01 07:00:00,-3.4,"HU-128700-99999"
"47640",2020-01-01 08:00:00,-1.7,"HU-128700-99999"
"47641",2020-01-01 09:00:00,1.8,"HU-128700-99999"
"47642",2020-01-01 10:00:00,4.2,"HU-128700-99999"
"47643",2020-01-01 11:00:00,6.3,"HU-128700-99999"
"47644",2020-01-01 12:00:00,7.5,"HU-128700-99999"
"47645",2020-01-01 13:00:00,7.2,"HU-128700-99999"
"47646",2020-01-01 14:00:00,6.6,"HU-128700-99999"
"47647",2020-01-01 15:00:00,3.3,"HU-128700-99999"
"47648",2020-01-01 16:00:00,1.7,"HU-128700-99999"
"47649",2020-01-01 17:00:00,0.1,"HU-128700-99999"
"47650",2020-01-01 18:00:00,-0.2,"HU-128700-99999"
"47651",2020-01-01 19:00:00,-1.2,"HU-128700-99999"
"47652",2020-01-01 20:00:00,-1,"HU-128700-99999"
"47653",2020-01-01 21:00:00,-1,"HU-128700-99999"
"47654",2020-01-01 22:00:00,-3,"HU-128700-99999"
"47655",2020-01-01 23:00:00,-3.6,"HU-128700-99999"
"47656",2020-01-02,-3.4,"HU-128700-99999"
"47657",2020-01-02 01:00:00,-3.1,"HU-128700-99999"
"47658",2020-01-02 02:00:00,-4.5,"HU-128700-99999"
"47659",2020-01-02 03:00:00,-2.8,"HU-128700-99999"
"47660",2020-01-02 04:00:00,-2,"HU-128700-99999"
"47661",2020-01-02 05:00:00,-2.9,"HU-128700-99999"
"47662",2020-01-02 06:00:00,-4.4,"HU-128700-99999"
"47663",2020-01-02 07:00:00,-6.3,"HU-128700-99999"
"47664",2020-01-02 08:00:00,-6,"HU-128700-99999"
"47665",2020-01-02 09:00:00,-5.1,"HU-128700-99999"
"47666",2020-01-02 10:00:00,-4.1,"HU-128700-99999"
"47667",2020-01-02 11:00:00,-3.7,"HU-128700-99999"
"47668",2020-01-02 12:00:00,-3.4,"HU-128700-99999"
"47669",2020-01-02 13:00:00,-3.4,"HU-128700-99999"
"47670",2020-01-02 14:00:00,-3.1,"HU-128700-99999"
"47671",2020-01-02 15:00:00,-3.2,"HU-128700-99999"
"47672",2020-01-02 16:00:00,-3.5,"HU-128700-99999"
"47673",2020-01-02 17:00:00,-3.9,"HU-128700-99999"
"47674",2020-01-02 18:00:00,-4.2,"HU-128700-99999"
"47675",2020-01-02 19:00:00,-4.4,"HU-128700-99999"
"47676",2020-01-02 20:00:00,-4.5,"HU-128700-99999"
"47677",2020-01-02 21:00:00,-4.3,"HU-128700-99999"
"47678",2020-01-02 22:00:00,-4.7,"HU-128700-99999"
"47679",2020-01-02 23:00:00,-4.7,"HU-128700-99999"
"47680",2020-01-03,-4.6,"HU-128700-99999"
"47681",2020-01-03 01:00:00,-4.4,"HU-128700-99999"
"47682",2020-01-03 02:00:00,-4.2,"HU-128700-99999"
"47683",2020-01-03 03:00:00,-4,"HU-128700-99999"
"47684",2020-01-03 04:00:00,-4,"HU-128700-99999"
"47685",2020-01-03 05:00:00,-3.8,"HU-128700-99999"
"47686",2020-01-03 06:00:00,-4.2,"HU-128700-99999"
"47687",2020-01-03 07:00:00,-3.7,"HU-128700-99999"
"47688",2020-01-03 08:00:00,-4.3,"HU-128700-99999"
"47689",2020-01-03 09:00:00,-3.6,"HU-128700-99999"
"47690",2020-01-03 10:00:00,-3.3,"HU-128700-99999"
"47691",2020-01-03 11:00:00,-3.3,"HU-128700-99999"
"47692",2020-01-03 12:00:00,-3.1,"HU-128700-99999"
"47693",2020-01-03 13:00:00,-2.9,"HU-128700-99999"
"47694",2020-01-03 14:00:00,-3,"HU-128700-99999"
"47695",2020-01-03 15:00:00,-3.3,"HU-128700-99999"
"47696",2020-01-03 16:00:00,-3.4,"HU-128700-99999"
"47697",2020-01-03 17:00:00,-3.3,"HU-128700-99999"
"47698",2020-01-03 18:00:00,-3.4,"HU-128700-99999"
"47699",2020-01-03 19:00:00,-3.3,"HU-128700-99999"
"47700",2020-01-03 20:00:00,-3.7,"HU-128700-99999"
"47701",2020-01-03 21:00:00,-3.8,"HU-128700-99999"
"47702",2020-01-03 22:00:00,-3.8,"HU-128700-99999"
"47703",2020-01-03 23:00:00,-3.7,"HU-128700-99999"
"47704",2020-01-04,-3.9,"HU-128700-99999"
"47705",2020-01-04 01:00:00,-3.9,"HU-128700-99999"
"47706",2020-01-04 02:00:00,-3.8,"HU-128700-99999"
"47707",2020-01-04 03:00:00,-3.6,"HU-128700-99999"
"47708",2020-01-04 04:00:00,-3.3,"HU-128700-99999"
"47709",2020-01-04 05:00:00,-3,"HU-128700-99999"
"47710",2020-01-04 06:00:00,-3,"HU-128700-99999"
"47711",2020-01-04 07:00:00,-2.9,"HU-128700-99999"
"47712",2020-01-04 08:00:00,-2.8,"HU-128700-99999"
"47713",2020-01-04 09:00:00,-2.5,"HU-128700-99999"
"47714",2020-01-04 10:00:00,-2.4,"HU-128700-99999"
"47715",2020-01-04 11:00:00,-2,"HU-128700-99999"
"47716",2020-01-04 12:00:00,-1.3,"HU-128700-99999"
"47717",2020-01-04 13:00:00,-1.3,"HU-128700-99999"
"47718",2020-01-04 14:00:00,-0.9,"HU-128700-99999"
"47719",2020-01-04 15:00:00,-1,"HU-128700-99999"
"47720",2020-01-04 16:00:00,-1.3,"HU-128700-99999"
