"","date","t2m","site"
"110008",2020-01-01 00:00:00,0,"LG-264290-99999"
"25000",2020-01-01 03:00:00,1,"LG-264290-99999"
"31900",2020-01-01 06:00:00,-0.2,"LG-264290-99999"
"41800",2020-01-01 09:00:00,1.6,"LG-264290-99999"
"52000",2020-01-01 12:00:00,2.7,"LG-264290-99999"
"62000",2020-01-01 15:00:00,3.2,"LG-264290-99999"
"71600",2020-01-01 18:00:00,4,"LG-264290-99999"
"81290",2020-01-01 21:00:00,4.3,"LG-264290-99999"
"91035",2020-01-02 00:00:00,4.2,"LG-264290-99999"
"101037",2020-01-02 03:00:00,4.5,"LG-264290-99999"
"111034",2020-01-02 06:00:00,5,"LG-264290-99999"
"121028",2020-01-02 09:00:00,5,"LG-264290-99999"
"131007",2020-01-02 12:00:00,5.2,"LG-264290-99999"
"141008",2020-01-02 15:00:00,3.8,"LG-264290-99999"
"151007",2020-01-02 18:00:00,2.5,"LG-264290-99999"
"161007",2020-01-02 21:00:00,2.5,"LG-264290-99999"
"171006",2020-01-03 00:00:00,2,"LG-264290-99999"
"181008",2020-01-03 03:00:00,1.6,"LG-264290-99999"
"191009",2020-01-03 06:00:00,1,"LG-264290-99999"
"201007",2020-01-03 09:00:00,2.4,"LG-264290-99999"
"211008",2020-01-03 12:00:00,3,"LG-264290-99999"
"221003",2020-01-03 15:00:00,2.6,"LG-264290-99999"
"231002",2020-01-03 18:00:00,2.5,"LG-264290-99999"
"241003",2020-01-03 21:00:00,2.6,"LG-264290-99999"
"251001",2020-01-04 00:00:00,3.5,"LG-264290-99999"
"26600",2020-01-04 03:00:00,3.6,"LG-264290-99999"
"27600",2020-01-04 06:00:00,3.7,"LG-264290-99999"
"28600",2020-01-04 09:00:00,2.4,"LG-264290-99999"
"29700",2020-01-04 12:00:00,2.7,"LG-264290-99999"
"30600",2020-01-04 15:00:00,2.6,"LG-264290-99999"
"311000",2020-01-04 18:00:00,2.2,"LG-264290-99999"
"32600",2020-01-04 21:00:00,1.7,"LG-264290-99999"
"33600",2020-01-05 00:00:00,0.5,"LG-264290-99999"
"34600",2020-01-05 03:00:00,-0.2,"LG-264290-99999"
"35700",2020-01-05 06:00:00,-1.2,"LG-264290-99999"
"36500",2020-01-05 09:00:00,-0.8,"LG-264290-99999"
"37700",2020-01-05 12:00:00,0.5,"LG-264290-99999"
