"","date","t2m","site"
"31186",2020-01-01,33.7,"NC-915700-99999"
"31187",2020-01-01 01:00:00,33.7,"NC-915700-99999"
"31188",2020-01-01 02:00:00,35,"NC-915700-99999"
"31189",2020-01-01 03:00:00,32,"NC-915700-99999"
"31190",2020-01-01 04:00:00,31,"NC-915700-99999"
"31191",2020-01-01 05:00:00,28,"NC-915700-99999"
"31192",2020-01-01 06:00:00,26.2,"NC-915700-99999"
"31193",2020-01-01 07:00:00,25.1,"NC-915700-99999"
"31194",2020-01-01 08:00:00,24.5,"NC-915700-99999"
"31195",2020-01-01 09:00:00,24.1,"NC-915700-99999"
"31196",2020-01-01 10:00:00,24.7,"NC-915700-99999"
"31197",2020-01-01 11:00:00,26,"NC-915700-99999"
"31198",2020-01-01 12:00:00,26,"NC-915700-99999"
"31199",2020-01-01 13:00:00,26.1,"NC-915700-99999"
"31200",2020-01-01 14:00:00,26.1,"NC-915700-99999"
"31201",2020-01-01 15:00:00,26,"NC-915700-99999"
"31202",2020-01-01 16:00:00,25.7,"NC-915700-99999"
"31203",2020-01-01 17:00:00,25.6,"NC-915700-99999"
"31204",2020-01-01 18:00:00,25.5,"NC-915700-99999"
"31205",2020-01-01 19:00:00,25.7,"NC-915700-99999"
"31206",2020-01-01 20:00:00,27.6,"NC-915700-99999"
"31207",2020-01-01 21:00:00,29.7,"NC-915700-99999"
"31208",2020-01-01 22:00:00,31.2,"NC-915700-99999"
"31209",2020-01-01 23:00:00,32.2,"NC-915700-99999"
"31210",2020-01-02,33.7,"NC-915700-99999"
"31211",2020-01-02 01:00:00,34.2,"NC-915700-99999"
"31212",2020-01-02 02:00:00,33.5,"NC-915700-99999"
"31213",2020-01-02 03:00:00,33.5,"NC-915700-99999"
"31214",2020-01-02 04:00:00,32.7,"NC-915700-99999"
"31215",2020-01-02 05:00:00,32.1,"NC-915700-99999"
"31216",2020-01-02 06:00:00,29.5,"NC-915700-99999"
"31217",2020-01-02 07:00:00,29.7,"NC-915700-99999"
"31218",2020-01-02 08:00:00,27,"NC-915700-99999"
"31219",2020-01-02 09:00:00,27,"NC-915700-99999"
"31220",2020-01-02 10:00:00,26.7,"NC-915700-99999"
"31221",2020-01-02 11:00:00,26.5,"NC-915700-99999"
"31222",2020-01-02 12:00:00,26.5,"NC-915700-99999"
"31223",2020-01-02 13:00:00,26,"NC-915700-99999"
"31224",2020-01-02 14:00:00,26.2,"NC-915700-99999"
"31225",2020-01-02 15:00:00,26.2,"NC-915700-99999"
"31226",2020-01-02 16:00:00,26,"NC-915700-99999"
"31227",2020-01-02 17:00:00,25.7,"NC-915700-99999"
"31228",2020-01-02 18:00:00,25.6,"NC-915700-99999"
"31229",2020-01-02 19:00:00,25.7,"NC-915700-99999"
"31230",2020-01-02 20:00:00,28,"NC-915700-99999"
"31231",2020-01-02 21:00:00,30.2,"NC-915700-99999"
"31232",2020-01-02 23:00:00,32.5,"NC-915700-99999"
"31233",2020-01-03,33.2,"NC-915700-99999"
"31234",2020-01-03 01:00:00,33,"NC-915700-99999"
"31235",2020-01-03 02:00:00,33,"NC-915700-99999"
"31236",2020-01-03 03:00:00,33,"NC-915700-99999"
"31237",2020-01-03 04:00:00,33.1,"NC-915700-99999"
"31238",2020-01-03 05:00:00,32.2,"NC-915700-99999"
"31239",2020-01-03 06:00:00,29.2,"NC-915700-99999"
"31240",2020-01-03 07:00:00,28.6,"NC-915700-99999"
"31241",2020-01-03 08:00:00,26.7,"NC-915700-99999"
"31242",2020-01-03 09:00:00,26.5,"NC-915700-99999"
"31243",2020-01-03 22:00:00,32.1,"NC-915700-99999"
"31244",2020-01-03 23:00:00,33.1,"NC-915700-99999"
"31245",2020-01-04,33.7,"NC-915700-99999"
"31246",2020-01-04 01:00:00,34,"NC-915700-99999"
"31247",2020-01-04 02:00:00,34.7,"NC-915700-99999"
"31248",2020-01-04 03:00:00,34.1,"NC-915700-99999"
"31249",2020-01-04 04:00:00,33.6,"NC-915700-99999"
"31250",2020-01-04 05:00:00,31.5,"NC-915700-99999"
"31251",2020-01-04 06:00:00,29.2,"NC-915700-99999"
"31252",2020-01-04 07:00:00,28.2,"NC-915700-99999"
"31253",2020-01-04 08:00:00,27,"NC-915700-99999"
"31254",2020-01-04 09:00:00,26.7,"NC-915700-99999"
"31255",2020-01-04 10:00:00,26.6,"NC-915700-99999"
"31256",2020-01-04 11:00:00,26.6,"NC-915700-99999"
"31257",2020-01-04 12:00:00,26.5,"NC-915700-99999"
"31258",2020-01-04 13:00:00,26.5,"NC-915700-99999"
"31259",2020-01-04 14:00:00,26.2,"NC-915700-99999"
"31260",2020-01-04 15:00:00,26.1,"NC-915700-99999"
"31261",2020-01-04 16:00:00,26,"NC-915700-99999"
"31262",2020-01-04 17:00:00,26,"NC-915700-99999"
"31263",2020-01-04 18:00:00,26,"NC-915700-99999"
"31264",2020-01-04 19:00:00,26.2,"NC-915700-99999"
"31265",2020-01-04 20:00:00,27.7,"NC-915700-99999"
"31266",2020-01-04 21:00:00,29.5,"NC-915700-99999"
"31267",2020-01-04 22:00:00,31.2,"NC-915700-99999"
"31268",2020-01-04 23:00:00,31.5,"NC-915700-99999"
"31269",2020-01-05,32,"NC-915700-99999"
"31270",2020-01-05 01:00:00,32.7,"NC-915700-99999"
"31271",2020-01-05 02:00:00,33.2,"NC-915700-99999"
"31272",2020-01-05 03:00:00,32.7,"NC-915700-99999"
"31273",2020-01-05 04:00:00,32.5,"NC-915700-99999"
"31274",2020-01-05 05:00:00,31.6,"NC-915700-99999"
"31275",2020-01-05 06:00:00,30.2,"NC-915700-99999"
"31276",2020-01-05 07:00:00,28.1,"NC-915700-99999"
"31277",2020-01-05 08:00:00,27,"NC-915700-99999"
"31278",2020-01-05 09:00:00,27,"NC-915700-99999"
"31279",2020-01-05 10:00:00,26.7,"NC-915700-99999"
"31280",2020-01-05 11:00:00,26.7,"NC-915700-99999"
"31281",2020-01-05 12:00:00,26.6,"NC-915700-99999"
"31282",2020-01-05 13:00:00,26.6,"NC-915700-99999"
"31283",2020-01-05 14:00:00,26.5,"NC-915700-99999"
"31284",2020-01-05 15:00:00,26.6,"NC-915700-99999"
"31285",2020-01-05 16:00:00,26.5,"NC-915700-99999"
"31286",2020-01-05 17:00:00,26.5,"NC-915700-99999"
"31287",2020-01-05 18:00:00,26.5,"NC-915700-99999"
"31288",2020-01-05 19:00:00,26.6,"NC-915700-99999"
"31289",2020-01-05 20:00:00,27.7,"NC-915700-99999"
"31290",2020-01-05 21:00:00,29,"NC-915700-99999"
"31291",2020-01-05 22:00:00,31.6,"NC-915700-99999"
"31292",2020-01-05 23:00:00,32.7,"NC-915700-99999"
"31293",2020-01-06,34.2,"NC-915700-99999"
"31294",2020-01-06 01:00:00,34.5,"NC-915700-99999"
"31295",2020-01-06 02:00:00,35,"NC-915700-99999"
"31296",2020-01-06 03:00:00,34.5,"NC-915700-99999"
"31297",2020-01-06 04:00:00,33.7,"NC-915700-99999"
"31298",2020-01-06 05:00:00,31,"NC-915700-99999"
"31299",2020-01-06 06:00:00,31.2,"NC-915700-99999"
"31300",2020-01-06 07:00:00,29.2,"NC-915700-99999"
"31301",2020-01-06 08:00:00,27.6,"NC-915700-99999"
"31302",2020-01-06 09:00:00,27.5,"NC-915700-99999"
"31303",2020-01-06 10:00:00,27.5,"NC-915700-99999"
