"","date","t2m","site"
"95470",2020-01-01,2.9,"PL-125850-99999"
"95471",2020-01-01 01:00:00,2.6,"PL-125850-99999"
"95472",2020-01-01 02:00:00,1.8,"PL-125850-99999"
"95473",2020-01-01 03:00:00,1.5,"PL-125850-99999"
"95474",2020-01-01 04:00:00,0.9,"PL-125850-99999"
"95475",2020-01-01 05:00:00,1,"PL-125850-99999"
"95476",2020-01-01 06:00:00,0.6,"PL-125850-99999"
"95477",2020-01-01 07:00:00,0.4,"PL-125850-99999"
"95478",2020-01-01 08:00:00,0.9,"PL-125850-99999"
"95479",2020-01-01 09:00:00,1.4,"PL-125850-99999"
"95480",2020-01-01 10:00:00,2.6,"PL-125850-99999"
"95481",2020-01-01 11:00:00,2.8,"PL-125850-99999"
"95482",2020-01-01 12:00:00,2.5,"PL-125850-99999"
"95483",2020-01-01 13:00:00,2.7,"PL-125850-99999"
"95484",2020-01-01 14:00:00,2.4,"PL-125850-99999"
"95485",2020-01-01 15:00:00,1,"PL-125850-99999"
"95486",2020-01-01 16:00:00,1.4,"PL-125850-99999"
"95487",2020-01-01 17:00:00,1.8,"PL-125850-99999"
"95488",2020-01-01 18:00:00,1.2,"PL-125850-99999"
"95489",2020-01-01 19:00:00,0.4,"PL-125850-99999"
"95490",2020-01-01 20:00:00,0.6,"PL-125850-99999"
"95491",2020-01-01 21:00:00,1,"PL-125850-99999"
"95492",2020-01-01 22:00:00,0.8,"PL-125850-99999"
"95493",2020-01-01 23:00:00,0.8,"PL-125850-99999"
"95494",2020-01-02,0.4,"PL-125850-99999"
"95495",2020-01-02 01:00:00,0.2,"PL-125850-99999"
"95496",2020-01-02 02:00:00,-0.9,"PL-125850-99999"
"95497",2020-01-02 03:00:00,-1.4,"PL-125850-99999"
"95498",2020-01-02 04:00:00,-2,"PL-125850-99999"
"95499",2020-01-02 05:00:00,-2.3,"PL-125850-99999"
"95500",2020-01-02 06:00:00,-2.2,"PL-125850-99999"
"95501",2020-01-02 07:00:00,-2.4,"PL-125850-99999"
"95502",2020-01-02 08:00:00,-1.7,"PL-125850-99999"
"95503",2020-01-02 09:00:00,-0.6,"PL-125850-99999"
"95504",2020-01-02 10:00:00,0.1,"PL-125850-99999"
"95505",2020-01-02 11:00:00,2.7,"PL-125850-99999"
"95506",2020-01-02 12:00:00,6.1,"PL-125850-99999"
"95507",2020-01-02 13:00:00,5.8,"PL-125850-99999"
"95508",2020-01-02 14:00:00,4.7,"PL-125850-99999"
"95509",2020-01-02 15:00:00,3.1,"PL-125850-99999"
"95510",2020-01-02 16:00:00,2.4,"PL-125850-99999"
"95511",2020-01-02 17:00:00,1.4,"PL-125850-99999"
"95512",2020-01-02 18:00:00,1,"PL-125850-99999"
"95513",2020-01-02 19:00:00,0.6,"PL-125850-99999"
"95514",2020-01-02 20:00:00,-0.2,"PL-125850-99999"
"95515",2020-01-02 21:00:00,-0.4,"PL-125850-99999"
"95516",2020-01-02 22:00:00,-0.8,"PL-125850-99999"
"95517",2020-01-02 23:00:00,-1.2,"PL-125850-99999"
"95518",2020-01-03,-1.8,"PL-125850-99999"
"95519",2020-01-03 01:00:00,-1.8,"PL-125850-99999"
"95520",2020-01-03 02:00:00,-2.4,"PL-125850-99999"
"95521",2020-01-03 03:00:00,-3.3,"PL-125850-99999"
"95522",2020-01-03 04:00:00,-4.1,"PL-125850-99999"
"95523",2020-01-03 05:00:00,-4.2,"PL-125850-99999"
"95524",2020-01-03 06:00:00,-3.9,"PL-125850-99999"
"95525",2020-01-03 07:00:00,-4.3,"PL-125850-99999"
"95526",2020-01-03 08:00:00,-3,"PL-125850-99999"
"95527",2020-01-03 09:00:00,-1.6,"PL-125850-99999"
"95528",2020-01-03 10:00:00,0.1,"PL-125850-99999"
"95529",2020-01-03 11:00:00,1.6,"PL-125850-99999"
"95530",2020-01-03 12:00:00,2.3,"PL-125850-99999"
"95531",2020-01-03 13:00:00,2.3,"PL-125850-99999"
"95532",2020-01-03 14:00:00,1.5,"PL-125850-99999"
"95533",2020-01-03 15:00:00,0.5,"PL-125850-99999"
"95534",2020-01-03 16:00:00,-0.1,"PL-125850-99999"
"95535",2020-01-03 17:00:00,-0.6,"PL-125850-99999"
"95536",2020-01-03 18:00:00,-1.4,"PL-125850-99999"
"95537",2020-01-03 19:00:00,-1.6,"PL-125850-99999"
"95538",2020-01-03 20:00:00,-1.9,"PL-125850-99999"
"95539",2020-01-03 21:00:00,-2,"PL-125850-99999"
"95540",2020-01-03 22:00:00,-1.3,"PL-125850-99999"
"95541",2020-01-03 23:00:00,-1,"PL-125850-99999"
"95542",2020-01-04,-0.8,"PL-125850-99999"
"95543",2020-01-04 01:00:00,-0.3,"PL-125850-99999"
"95544",2020-01-04 02:00:00,0.4,"PL-125850-99999"
"95545",2020-01-04 03:00:00,0.9,"PL-125850-99999"
"95546",2020-01-04 04:00:00,2.8,"PL-125850-99999"
"95547",2020-01-04 05:00:00,3.2,"PL-125850-99999"
"95548",2020-01-04 06:00:00,3.9,"PL-125850-99999"
"95549",2020-01-04 07:00:00,3.8,"PL-125850-99999"
"95550",2020-01-04 08:00:00,3.7,"PL-125850-99999"
"95551",2020-01-04 09:00:00,3.8,"PL-125850-99999"
"95552",2020-01-04 10:00:00,4.1,"PL-125850-99999"
"95553",2020-01-04 11:00:00,4.1,"PL-125850-99999"
"95554",2020-01-04 12:00:00,3.9,"PL-125850-99999"
"95555",2020-01-04 13:00:00,3.3,"PL-125850-99999"
"95556",2020-01-04 14:00:00,2.8,"PL-125850-99999"
"95557",2020-01-04 15:00:00,2.5,"PL-125850-99999"
"95558",2020-01-04 16:00:00,2.6,"PL-125850-99999"
"95559",2020-01-04 17:00:00,2.4,"PL-125850-99999"
"95560",2020-01-04 18:00:00,2.3,"PL-125850-99999"
"95561",2020-01-04 19:00:00,1.1,"PL-125850-99999"
"95562",2020-01-04 20:00:00,1.2,"PL-125850-99999"
"95563",2020-01-04 21:00:00,1.1,"PL-125850-99999"
"95564",2020-01-04 22:00:00,1.2,"PL-125850-99999"
"95565",2020-01-04 23:00:00,1.5,"PL-125850-99999"
"95566",2020-01-05,1.3,"PL-125850-99999"
"95567",2020-01-05 01:00:00,1.5,"PL-125850-99999"
"95568",2020-01-05 02:00:00,1.5,"PL-125850-99999"
"95569",2020-01-05 03:00:00,1.6,"PL-125850-99999"
"95570",2020-01-05 04:00:00,1.5,"PL-125850-99999"
"95571",2020-01-05 05:00:00,1.1,"PL-125850-99999"
"95572",2020-01-05 06:00:00,1.1,"PL-125850-99999"
"95573",2020-01-05 07:00:00,1.1,"PL-125850-99999"
"95574",2020-01-05 08:00:00,0.9,"PL-125850-99999"
"95575",2020-01-05 09:00:00,0.9,"PL-125850-99999"
"95576",2020-01-05 10:00:00,1.3,"PL-125850-99999"
"95577",2020-01-05 11:00:00,1.6,"PL-125850-99999"
"95578",2020-01-05 12:00:00,2,"PL-125850-99999"
"95579",2020-01-05 13:00:00,1.8,"PL-125850-99999"
"95580",2020-01-05 14:00:00,1.4,"PL-125850-99999"
"95581",2020-01-05 15:00:00,0.8,"PL-125850-99999"
"95582",2020-01-05 16:00:00,0.4,"PL-125850-99999"
"95583",2020-01-05 17:00:00,0.2,"PL-125850-99999"
"95584",2020-01-05 18:00:00,-0.4,"PL-125850-99999"
"95585",2020-01-05 19:00:00,-1,"PL-125850-99999"
"95586",2020-01-05 20:00:00,-1.9,"PL-125850-99999"
"95587",2020-01-05 21:00:00,-2.3,"PL-125850-99999"
"95588",2020-01-05 22:00:00,-2.5,"PL-125850-99999"
"95589",2020-01-05 23:00:00,-3,"PL-125850-99999"
"95590",2020-01-06,-3,"PL-125850-99999"
"95591",2020-01-06 01:00:00,-3.1,"PL-125850-99999"
"95592",2020-01-06 02:00:00,-4.4,"PL-125850-99999"
"95593",2020-01-06 03:00:00,-5.1,"PL-125850-99999"
"95594",2020-01-06 04:00:00,-4.8,"PL-125850-99999"
"95595",2020-01-06 05:00:00,-4.4,"PL-125850-99999"
"95596",2020-01-06 06:00:00,-4.3,"PL-125850-99999"
"95597",2020-01-06 07:00:00,-3.9,"PL-125850-99999"
"95598",2020-01-06 08:00:00,-3.4,"PL-125850-99999"
"95599",2020-01-06 09:00:00,-2.8,"PL-125850-99999"
"95600",2020-01-06 10:00:00,-2.1,"PL-125850-99999"
"95601",2020-01-06 11:00:00,-1.2,"PL-125850-99999"
"95602",2020-01-06 12:00:00,-0.6,"PL-125850-99999"
"95603",2020-01-06 13:00:00,-0.7,"PL-125850-99999"
"95604",2020-01-06 14:00:00,-0.7,"PL-125850-99999"
"95605",2020-01-06 15:00:00,-0.6,"PL-125850-99999"
"95606",2020-01-06 16:00:00,-0.5,"PL-125850-99999"
"95607",2020-01-06 17:00:00,-0.3,"PL-125850-99999"
"95608",2020-01-06 18:00:00,-0.3,"PL-125850-99999"
"95609",2020-01-06 19:00:00,-0.4,"PL-125850-99999"
"95610",2020-01-06 20:00:00,-0.2,"PL-125850-99999"
"95611",2020-01-06 21:00:00,-0.4,"PL-125850-99999"
"95612",2020-01-06 22:00:00,-0.5,"PL-125850-99999"
"95613",2020-01-06 23:00:00,-0.7,"PL-125850-99999"
"95614",2020-01-07,-0.8,"PL-125850-99999"
"95615",2020-01-07 01:00:00,-0.6,"PL-125850-99999"
"95616",2020-01-07 02:00:00,-0.5,"PL-125850-99999"
"95617",2020-01-07 03:00:00,-0.6,"PL-125850-99999"
"95618",2020-01-07 04:00:00,-0.8,"PL-125850-99999"
"95619",2020-01-07 05:00:00,-1.2,"PL-125850-99999"
"95620",2020-01-07 06:00:00,-2.4,"PL-125850-99999"
"95621",2020-01-07 07:00:00,-3.1,"PL-125850-99999"
"95622",2020-01-07 08:00:00,-2.2,"PL-125850-99999"
"95623",2020-01-07 09:00:00,-1.3,"PL-125850-99999"
