"","date","t2m","site"
"56289",2020-01-01,22,"TH-483830-99999"
"56290",2020-01-01 03:00:00,28,"TH-483830-99999"
"56291",2020-01-01 06:00:00,29.2,"TH-483830-99999"
"56292",2020-01-01 09:00:00,28.2,"TH-483830-99999"
"56293",2020-01-01 12:00:00,26,"TH-483830-99999"
"56294",2020-01-01 15:00:00,23.7,"TH-483830-99999"
"56295",2020-01-01 18:00:00,22.7,"TH-483830-99999"
"56296",2020-01-01 21:00:00,21.2,"TH-483830-99999"
"56297",2020-01-02,25,"TH-483830-99999"
"56298",2020-01-02 03:00:00,27.6,"TH-483830-99999"
"56299",2020-01-02 06:00:00,30.5,"TH-483830-99999"
"56300",2020-01-02 09:00:00,31,"TH-483830-99999"
"56301",2020-01-02 12:00:00,27.4,"TH-483830-99999"
"56302",2020-01-02 15:00:00,24.2,"TH-483830-99999"
"56303",2020-01-02 18:00:00,22.5,"TH-483830-99999"
"56304",2020-01-02 21:00:00,21.5,"TH-483830-99999"
"56305",2020-01-03,19.5,"TH-483830-99999"
"56306",2020-01-03 03:00:00,27.3,"TH-483830-99999"
"56307",2020-01-03 06:00:00,31.5,"TH-483830-99999"
"56308",2020-01-03 09:00:00,32.2,"TH-483830-99999"
"56309",2020-01-03 12:00:00,28,"TH-483830-99999"
"56310",2020-01-03 15:00:00,24.2,"TH-483830-99999"
"56311",2020-01-03 18:00:00,22,"TH-483830-99999"
"56312",2020-01-03 21:00:00,21.1,"TH-483830-99999"
"56313",2020-01-04,25.5,"TH-483830-99999"
"56314",2020-01-04 03:00:00,27,"TH-483830-99999"
"56315",2020-01-04 06:00:00,30.5,"TH-483830-99999"
"56316",2020-01-04 09:00:00,31.1,"TH-483830-99999"
"56317",2020-01-04 12:00:00,26.5,"TH-483830-99999"
"56318",2020-01-04 15:00:00,23.5,"TH-483830-99999"
"56319",2020-01-04 18:00:00,22,"TH-483830-99999"
"56320",2020-01-04 21:00:00,20,"TH-483830-99999"
"56321",2020-01-05,20,"TH-483830-99999"
"56322",2020-01-05 03:00:00,28.8,"TH-483830-99999"
"56323",2020-01-05 06:00:00,31,"TH-483830-99999"
"56324",2020-01-05 09:00:00,31.2,"TH-483830-99999"
"56325",2020-01-05 12:00:00,27.2,"TH-483830-99999"
"56326",2020-01-05 15:00:00,24.5,"TH-483830-99999"
"56327",2020-01-05 18:00:00,21.5,"TH-483830-99999"
"56328",2020-01-05 21:00:00,19.7,"TH-483830-99999"
"56329",2020-01-06,19,"TH-483830-99999"
"56330",2020-01-06 03:00:00,26.7,"TH-483830-99999"
"56331",2020-01-06 06:00:00,30.3,"TH-483830-99999"
"56332",2020-01-06 09:00:00,32,"TH-483830-99999"
"56333",2020-01-06 12:00:00,27,"TH-483830-99999"
"56334",2020-01-06 15:00:00,23.2,"TH-483830-99999"
"56335",2020-01-06 18:00:00,22.5,"TH-483830-99999"
"56336",2020-01-06 21:00:00,20.5,"TH-483830-99999"
"56337",2020-01-07,21,"TH-483830-99999"
"56338",2020-01-07 03:00:00,27.7,"TH-483830-99999"
"56339",2020-01-07 06:00:00,32,"TH-483830-99999"
"56340",2020-01-07 09:00:00,33.2,"TH-483830-99999"
"56341",2020-01-07 12:00:00,28,"TH-483830-99999"
"56342",2020-01-07 15:00:00,25.5,"TH-483830-99999"
"56343",2020-01-07 18:00:00,23.5,"TH-483830-99999"
"56344",2020-01-07 21:00:00,20.5,"TH-483830-99999"
"56345",2020-01-08,20.5,"TH-483830-99999"
"56346",2020-01-08 03:00:00,28,"TH-483830-99999"
"56347",2020-01-08 06:00:00,32.2,"TH-483830-99999"
"56348",2020-01-08 09:00:00,33.6,"TH-483830-99999"
"56349",2020-01-08 12:00:00,29.8,"TH-483830-99999"
"56350",2020-01-08 15:00:00,26,"TH-483830-99999"
"56351",2020-01-08 18:00:00,23.5,"TH-483830-99999"
"56352",2020-01-08 21:00:00,22,"TH-483830-99999"
"56353",2020-01-09,21.1,"TH-483830-99999"
"56354",2020-01-09 03:00:00,27.6,"TH-483830-99999"
"56355",2020-01-09 06:00:00,32,"TH-483830-99999"
"56356",2020-01-09 09:00:00,33,"TH-483830-99999"
"56357",2020-01-09 12:00:00,28,"TH-483830-99999"
"56358",2020-01-09 15:00:00,25,"TH-483830-99999"
"56359",2020-01-09 18:00:00,22.8,"TH-483830-99999"
"56360",2020-01-09 21:00:00,21.5,"TH-483830-99999"
