"","date","t2m","site"
"66317",2020-01-01 06:00:00,1.1,"TU-171550-99999"
"66318",2020-01-01 07:00:00,1.7,"TU-171550-99999"
"66319",2020-01-01 08:00:00,2,"TU-171550-99999"
"66320",2020-01-01 09:00:00,2.5,"TU-171550-99999"
"66321",2020-01-01 10:00:00,3.1,"TU-171550-99999"
"66322",2020-01-01 11:00:00,3,"TU-171550-99999"
"66323",2020-01-01 12:00:00,1.6,"TU-171550-99999"
"66324",2020-01-01 13:00:00,1,"TU-171550-99999"
"66325",2020-01-01 14:00:00,0.6,"TU-171550-99999"
"66326",2020-01-01 15:00:00,0.2,"TU-171550-99999"
"66327",2020-01-01 16:00:00,0.2,"TU-171550-99999"
"66328",2020-01-01 17:00:00,0.1,"TU-171550-99999"
"66329",2020-01-01 18:00:00,0.1,"TU-171550-99999"
"66330",2020-01-02 06:00:00,-1,"TU-171550-99999"
"66331",2020-01-02 07:00:00,-0.9,"TU-171550-99999"
"66332",2020-01-02 08:00:00,-0.7,"TU-171550-99999"
"66333",2020-01-02 09:00:00,-0.2,"TU-171550-99999"
"66334",2020-01-02 10:00:00,0.2,"TU-171550-99999"
"66335",2020-01-02 11:00:00,1,"TU-171550-99999"
"66336",2020-01-02 12:00:00,1.2,"TU-171550-99999"
"66337",2020-01-02 13:00:00,1.2,"TU-171550-99999"
"66338",2020-01-02 14:00:00,1.2,"TU-171550-99999"
"66339",2020-01-02 15:00:00,1.1,"TU-171550-99999"
"66340",2020-01-02 16:00:00,0.7,"TU-171550-99999"
"66341",2020-01-02 17:00:00,0.5,"TU-171550-99999"
"66342",2020-01-02 18:00:00,0.2,"TU-171550-99999"
"66343",2020-01-03 06:00:00,-1.5,"TU-171550-99999"
"66344",2020-01-03 07:00:00,-0.7,"TU-171550-99999"
"66345",2020-01-03 08:00:00,0.7,"TU-171550-99999"
"66346",2020-01-03 09:00:00,1.2,"TU-171550-99999"
"66347",2020-01-03 10:00:00,2.1,"TU-171550-99999"
"66348",2020-01-03 11:00:00,3,"TU-171550-99999"
"66349",2020-01-03 12:00:00,3,"TU-171550-99999"
"66350",2020-01-03 13:00:00,3,"TU-171550-99999"
"66351",2020-01-03 14:00:00,2.2,"TU-171550-99999"
"66352",2020-01-03 15:00:00,1.7,"TU-171550-99999"
"66353",2020-01-03 16:00:00,1,"TU-171550-99999"
"66354",2020-01-03 17:00:00,0,"TU-171550-99999"
"66355",2020-01-03 18:00:00,-1,"TU-171550-99999"
"66356",2020-01-04 06:00:00,-3.2,"TU-171550-99999"
"66357",2020-01-04 07:00:00,-2.7,"TU-171550-99999"
"66358",2020-01-04 08:00:00,-0.9,"TU-171550-99999"
"66359",2020-01-04 09:00:00,0,"TU-171550-99999"
"66360",2020-01-04 10:00:00,2.5,"TU-171550-99999"
"66361",2020-01-04 11:00:00,4,"TU-171550-99999"
"66362",2020-01-04 12:00:00,5,"TU-171550-99999"
"66363",2020-01-04 13:00:00,5.7,"TU-171550-99999"
"66364",2020-01-04 14:00:00,4.7,"TU-171550-99999"
"66365",2020-01-04 15:00:00,3.7,"TU-171550-99999"
"66366",2020-01-04 16:00:00,3.2,"TU-171550-99999"
