"","Mean offset","Median offset","Sum of offsets","Equilibrium","Offset of SDs","Mean daily offset of SDs","Amplitude offset (5%)","Amplitude offset (2.5%)","Mean daily amplitude offset","Amplitude ratio (5%)","Amplitude ratio (2.5%)","CV offset","Mean daily CV offset","CV ratio","Slope","Change ratio","Correlation","Offset of maxima (97.5%)","Offset of maxima (100%)","Mean daily offset of maxima (97.5%)","Mean daily offset of maxima (100%)","p95 of daily offset of maxima","Offset of minima (2.5%)","Offset of minima (0%)","Mean daily offset of minima (2.5%)","Mean daily offset of minima (0%)","p5 of daily offset of minima"
"Mean offset",1,0.999819083044088,0.926410561644762,NA,-0.000760410094502751,-0.000175093618241471,-1.37085594911805e-07,0.000281616055772739,4.47025249077152e-05,2.36424226174428e-07,0.000349488643062726,0.586313544182733,NA,0.743832232553242,-0.000928884100181539,3.92537850697213e-17,-0.00158557999815568,0.946687622659979,0.720516933288905,0.98007226499811,0.978190609201997,0.943540293855227,0.960237339625542,0.613059508759016,0.98258304096211,0.980896156677554,0.95972488420052
"Median offset",0.999819083044088,1,0.92624566098844,NA,-0.013779965140695,-0.0141620095129082,-0.0136370899862159,-0.0118494654185775,-0.0131213546545577,-0.0145803915095963,-0.0141695904744445,0.591808471754987,NA,0.747120778236164,-0.0138483182352596,-0.0126881852954793,-0.00348844594493185,0.942445098522109,0.71424639832718,0.977159061233916,0.975150410039901,0.939912782000997,0.963166048487105,0.616460324680621,0.984716862377205,0.983134707626487,0.962276774163683
"Sum of offsets",0.926410561644762,0.92624566098844,1,NA,-0.000308188008547989,8.86883649421602e-05,4.01480225597938e-07,0.000469156513063388,0.000125386156397249,4.60909481351808e-07,0.000477633077209119,0.49859528783105,NA,0.788786365445772,-0.000468300172126778,4.09518235863773e-17,-0.00105733152403137,0.877089653920278,0.667779484908456,0.90796378620501,0.906222247171513,0.874157168780422,0.88951907371126,0.567275690940324,0.910258734264807,0.908695017936131,0.889071283005512
"Equilibrium",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Offset of SDs",-0.000760410094502751,-0.013779965140695,-0.000308188008547989,NA,1,0.984252197353878,0.891434055245576,0.925279402113036,0.926812130416008,0.808592507739687,0.857067297532096,-0.288905933889963,NA,-0.212065312671008,0.87265060052488,0.832450391938837,0.246986681433211,0.296897161577398,0.516907459333845,0.183939166150245,0.192981815426939,0.269408433699707,-0.250464310479593,-0.584228153990244,-0.170606178315359,-0.178669353599978,-0.225827276460317
"Mean daily offset of SDs",-0.000175093618241471,-0.0141620095129082,8.86883649421602e-05,NA,0.984252197353878,1,0.928857081331234,0.958373352684837,0.961164608586214,0.839765676339401,0.882026178740509,-0.283136512613438,NA,-0.20907228057158,0.848513871329448,0.863935622459867,0.21194538141784,0.307966931599781,0.531786233327488,0.191769824643057,0.200944745394169,0.278887704770054,-0.2589651795441,-0.501295973241195,-0.176114613776906,-0.184479493746454,-0.235710744898126
"Amplitude offset (5%)",-1.37085594911805e-07,-0.0136370899862159,4.01480225597938e-07,NA,0.891434055245576,0.928857081331234,1,0.874750407369726,0.963334440256493,0.865433990329027,0.791361022299941,-0.238615126591941,NA,-0.18441888770901,0.741550036133085,0.927460999430733,0.179666037075385,0.28079267827003,0.3912637344711,0.191128110800045,0.199417983938894,0.248179973734626,-0.236676109449614,-0.311223225044003,-0.178687611032916,-0.186881865307863,-0.217428734465549
"Amplitude offset (2.5%)",0.000281616055772739,-0.0118494654185775,0.000469156513063388,NA,0.925279402113036,0.958373352684837,0.874750407369726,1,0.932314019106869,0.748854867037069,0.83584033006084,-0.219366328816393,NA,-0.182178204404527,0.751195185816765,0.820142195044941,0.174547804975718,0.31797860362307,0.599849118788907,0.18563287854889,0.194678675895422,0.277527229108472,-0.273626782750556,-0.479918038288862,-0.170786625478062,-0.179177212750829,-0.233398657373438
"Mean daily amplitude offset",4.47025249077152e-05,-0.0131213546545577,0.000125386156397249,NA,0.926812130416008,0.961164608586214,0.963334440256493,0.932314019106869,1,0.833672354926983,0.830009647010469,-0.245023296773746,NA,-0.189519823811441,0.773262240516513,0.907456473251044,0.212798952596174,0.301190612030346,0.480085872222583,0.198190320756846,0.20715566506583,0.262431153301399,-0.250302777049144,-0.399406864779605,-0.185140563127181,-0.193846766883024,-0.229219612643985
"Amplitude ratio (5%)",2.36424226174428e-07,-0.0145803915095963,4.60909481351808e-07,NA,0.808592507739687,0.839765676339401,0.865433990329027,0.748854867037069,0.833672354926983,1,0.92688671061307,-0.471961506505371,NA,-0.229935078206847,0.901381827196974,0.929449671498363,0.210746395131961,0.243423904288383,0.339656011377606,0.168437795017033,0.176470038705459,0.214520277367038,-0.199525811900613,-0.286902274956266,-0.150628342768935,-0.157824106310857,-0.18430426520017
