"","site","a","v","e","err","mean_offset","median_offset","equilibrium","sd_offset","sd_offset_mean_daily","amplitude_offset.95","amplitude_offset.975","amplitude_offset_mean_daily","CV_offset","slope","offset_of_maxima.95","offset_of_maxima.975","offset_of_maxima1.00","offset_of_maxima_mean_daily.95","offset_of_maxima_mean_daily.975","offset_of_maxima_mean_daily1.00","p95_daily_maxima_offset","offset_of_minima.05","offset_of_minima.025","offset_of_minima.00","offset_of_minima_mean_daily.05","offset_of_minima_mean_daily.025","offset_of_minima_mean_daily.00","p5_daily_minima_offset"
"1","AS-948300-99999","-1","-0.1","-0.2","1","-1.03997527479511","-1.03543170147181","-10.8719859869982","0.137223195966771","0.130567751480117","0.189920343161436","0.181925588871465","1.39142333561917","-0.331685522496271","0.957519272158531","-0.920858456384302","-1.08368737317413","-0.49760077997086","-0.757007537488624","-0.641016527039842","-0.511392307319478","2.09656042128868","-1.11077879954574","-1.26561296204559","-1.86984113953005","-1.65649323498978","-1.77540491034721","-1.90281564293865","-4.34635457073616"
"2","AS-948300-99999","-1","-0.1","-0.6","1","-0.90714096935238","-0.932016877637281","28.5654293606234","0.584905783528031","0.551555679362525","0.985935146048341","1.37135071589286","1.98905892089658","-0.56348013287861","1.06065273546314","-0.422160737434652","-0.316299663840816","6.36919003843661","-0.290649055170558","-0.139259784918373","0.0250249602359398","3.26651429301128","-1.40809588348299","-1.68765037973368","-6.13107389464704","-1.68812417874081","-1.82147963415336","-1.96403396066064","-4.53337751001975"
"3","AS-948300-99999","-1","-0.1","-1","1","-0.890845739891812","-0.949615933115151","20.8872195828896","0.866156636242557","0.816554341888207","1.11610698728842","2.68636121833407","2.40416680170414","-0.70156291883743","1.12240090194725","-0.388813843695544","0.131036021250438","11.959974362601","-0.00138769210511245","0.148055661832759","0.309333041446601","4.55226303716605","-1.50492083098397","-2.55532519708363","-6.32038066269059","-1.80149342118597","-1.94471181438769","-2.09483376025753","-4.91125203954759"
"4","AS-948300-99999","-1","-0.1","0.2","1","-0.996435081618019","-0.970107680960442","4.61934549502151","-0.0863456583282796","-0.0664632309703087","0.182565247849173","-0.378194628194741","1.0510082537484","-0.171473829127578","0.88915907871598","-0.920111233546912","-1.54837390831012","-5.8807661570337","-0.818437404885331","-0.733632853757506","-0.639371224796698","1.90774393611213","-1.10267648139608","-1.17017928011538","-0.677970330605739","-1.434317454373","-1.55602141659141","-1.6903794785451","-4.09387695157902"
"5","AS-948300-99999","-1","-0.1","0.6","1","-1.00898969904239","-0.948894471444747","7.66966357917959","-0.323199084435916","-0.282101185890693","-0.379758716686535","-2.08519165425317","0.545352643864175","0.00314552357153763","0.830120918276492","-1.11466473015007","-2.32260350671854","-12.1544863885044","-1.06557733857575","-1.03356665447863","-0.997596830369778","1.78842163161828","-0.734906013463533","-0.23741185246537","0.389532730160767","-1.3282365623889","-1.43469966759095","-1.54294947423395","-3.92673114633968"
"6","AS-948300-99999","-1","-0.1","1","1","-1.04618638035643","-0.930799228270196","9.0250151008528","-0.475538602277217","-0.411783603019648","-0.84006891458411","-2.8247337198409","0.375955350020867","0.11926620692196","0.771779659221127","-1.48050381910644","-3.0368022279003","-15.7584437244293","-1.19498743317042","-1.15282241626409","-1.09892428334459","1.91242813372408","-0.640434904522332","-0.212068508059394","0.904968485927808","-1.28229996330243","-1.37745692766573","-1.47487963336546","-4.14219498165442"
"7","AS-948300-99999","-1","-0.3","-0.2","1","-0.987873723197773","-0.959560966545016","6.38748162053345","-0.201515028383595","-0.174126878435805","-0.520103905269869","-1.60988449074854","0.275316821719185","-0.0855096416034837","0.863206459162463","-1.32423066305527","-2.04549706095772","-0.584806219665523","-1.186640094862","-1.12985022263706","-1.06437114930394","1.56147453319336","-0.804126757785399","-0.435612570209181","-1.75132199399382","-1.10693704843449","-1.2195039384087","-1.33968797102312","-3.77826040560664"
"8","AS-948300-99999","-1","-0.3","-0.6","1","-1.00990918439995","-0.995590157901237","4.44630102361405","-0.0793690725009304","-0.0691259635836534","-0.779955010142922","-0.993339711644804","0.58416739909777","-0.179596106104919","0.889781846095793","-1.40414258472694","-1.61196462256634","-0.0903312286931737","-1.10046164980901","-1.0094389154552","-0.905985162624126","1.86837288774489","-0.624187574584015","-0.618624910921532","-3.42530821854363","-1.24770728174312","-1.36316675799463","-1.4901525617219","-4.1362816255235"
"9","AS-948300-99999","-1","-0.3","-1","1","-0.897959580101352","-0.875295881799039","-24.1924350644466","0.314128613071246","0.31606369752158","-0.0320738417236459","0.135902408885681","0.990644097283186","-0.409271512228729","0.976245433894636","-1.01818528920282","-0.910557171560594","4.13033970936854","-0.762586573786924","-0.648482051103806","-0.515103748820923","2.81927668877755","-0.986111447479173","-1.04645958044628","-4.49997419684298","-1.25258696042573","-1.37509119240891","-1.50574784610411","-4.17795941598049"
"10","AS-948300-99999","-1","-0.3","0.2","1","-0.935739476811789","-0.878031029065733","8.97749622418104","-0.433299141246406","-0.387646664219019","-0.986599814961499","-2.6435333828987","0.037977425204823","0.112011292522848","0.797967371773165","-1.5366937424343","-2.71044781931559","-9.2471922561445","-1.24551200098232","-1.21212514137151","-1.16860673067655","1.54094853221843","-0.550093927472796","-0.0669144364168872","-1.25042673194832","-1.03509134256851","-1.11754890596172","-1.20658415588137","-3.85718369815898"
