"index","a_marg_r2","v_marg_r2","e_marg_r2","a_r2_unique","v_r2_unique","e_r2_unique","av_marg_r2","ae_marg_r2","ve_marg_r2","ave_marg_r2","ave_site_r2"
"mean_offset","0.99997","0","0","0.99997","0","0","0.99997","0.99997","0","0.99997","0"
"median_offset","0.99966","0.00016","0","0.99966","0.00016","0","0.99982","0.99966","0.00016","0.99982","0"
"sum_of_offsets","0.85822","0","0","0.85821","0","0","0.85821","0.85821","0","0.85821","0"
"equilibrium","0.00015","0","0","0.00015","0","0","0.00015","0.00015","0","0.00015","0"
"sd_offset","0","0.69294","0.0914","0","0.69294","0.09139","0.69294","0.09139","0.78433","0.78433","0.00235"
"sd_offset_mean_daily","0","0.74635","0.0852","0","0.74635","0.0852","0.74635","0.0852","0.83155","0.83155","0.00195"
"amplitude_offset.95","0","0.86015","0","0","0.86014","0","0.86015","0","0.86015","0.86014","0.00198"
"amplitude_offset.975","0","0.67262","0.18253","0","0.67262","0.18253","0.67262","0.18253","0.85515","0.85515","0.00075"
"amplitude_offset_mean_daily","0","0.82348","0.03018","0","0.82347","0.03018","0.82347","0.03018","0.85366","0.85365","0"
"amplitude_ratio.95","0","0.86385","0","0","0.86385","0","0.86385","0","0.86385","0.86385","0.00123"
"amplitude_ratio.975","0","0.72933","0.11094","0","0.72932","0.11094","0.72932","0.11094","0.84027","0.84027","0.00193"
"CV_offset","0.34319","0.11581","0.00838","0.34319","0.11581","0.00838","0.459","0.35157","0.12419","0.46738","0.02054"
"CV_offset_mean_daily","0","0","0.00122","0","0","0.00122","1e-05","0.00123","0.00123","0.00123","0.01474"
"CV_ratio","0.55297","0.0402","0.00413","0.55296","0.0402","0.00412","0.59317","0.55709","0.04433","0.59729","0.0024"
"slope","0","0.65383","0.07669","0","0.65383","0.07669","0.65383","0.07669","0.73052","0.73052","0"
"sensitivity","0","0.95994","0.03637","0","0.95994","0.03637","0.95994","0.03637","0.99631","0.99631","0"
"change_ratio","0","1","0","0","1","0","1","0","1","1","0"
"correlation_micro_macro","0","0.04893","0.00932","0","0.04893","0.00932","0.04893","0.00932","0.05825","0.05825","0.17886"
"offset_of_maxima.95","0.94554","0.04618","0","0.94554","0.04618","0","0.99172","0.94554","0.04618","0.99172","1e-04"
"offset_of_maxima.975","0.89589","0.06958","0.01749","0.89589","0.06958","0.01749","0.96547","0.91338","0.08707","0.98296","6e-05"
"offset_of_maxima1.00","0.51805","0.14546","0.23869","0.51805","0.14546","0.23869","0.66351","0.75674","0.38415","0.9022","0.00076"
"offset_of_maxima_mean_daily.95","0.9639","0.02959","0.00101","0.9639","0.02959","0.00101","0.99349","0.96491","0.0306","0.9945","0"
"offset_of_maxima_mean_daily.975","0.96046","0.03253","0.00127","0.96046","0.03253","0.00127","0.99299","0.96173","0.0338","0.99426","0"
"offset_of_maxima_mean_daily1.00","0.95677","0.03565","0.00157","0.95678","0.03565","0.00157","0.99242","0.95834","0.03721","0.99399","0"
"p95_daily_maxima_offset","0.8897","0.05215","0.01148","0.8897","0.05215","0.01148","0.94185","0.90118","0.06363","0.95333","0.01277"
"offset_of_minima.05","0.96073","0.03203","0","0.96073","0.03203","0","0.99276","0.96073","0.03203","0.99276","2e-04"
"offset_of_minima.025","0.92204","0.049","0.01453","0.92204","0.04901","0.01453","0.97104","0.93657","0.06354","0.98557","0.00015"
"offset_of_minima.00","0.37357","0.0935","0.19026","0.37357","0.0935","0.19026","0.46707","0.56383","0.28376","0.65733","0"
"offset_of_minima_mean_daily.05","0.96852","0.02537","0.00063","0.96852","0.02537","0.00063","0.99389","0.96915","0.026","0.99452","0"
"offset_of_minima_mean_daily.025","0.96542","0.02793","0.00076","0.96542","0.02793","0.00076","0.99335","0.96618","0.02869","0.99411","0"
"offset_of_minima_mean_daily.00","0.96211","0.03066","9e-04","0.96211","0.03066","9e-04","0.99277","0.96301","0.03156","0.99367","0"
"p5_daily_minima_offset","0.92092","0.03948","0.00628","0.92092","0.03948","0.00628","0.9604","0.9272","0.04576","0.96668","0.00885"
