"","plot","myc","composition","n"
"1",2,"EMF","Fa",2928
"2",4,"EMF","Qu",2928
"3",8,"AMF","Fr",2928
"4",17,"AMF","So",2928
"5",19,"AMF","Ac",2928
"6",20,"EMF","Ti",2928
"7",22,"EMF","Ca",2928
"8",27,"EMF","Be",2928
"9",31,"AMF","Pr",2928
"10",33,"AMF","Ae",2928
"11",46,"AMF","Ac",2928
"12",47,"EMF","Qu",2928
"13",50,"AMF","Ae",2928
"14",56,"EMF","Fa",2928
"15",61,"AMF","Fr",2928
"16",68,"AMF","So",2928
"17",70,"EMF","Ti",2928
"18",72,"EMF","Ca",2928
"19",76,"EMF","Be",2928
"20",77,"AMF","Pr",2928
